surah,ayah,arabic_text,translation,footnotes
85,1,وَٱلسَّمَآءِ ذَاتِ ٱلۡبُرُوجِ,1.Waxaan (waa Alle'e) ku dhaartay samada xiddigaha waaweyn leh iyo (jidadkooda).,
85,2,وَٱلۡيَوۡمِ ٱلۡمَوۡعُودِ,2. Iyo Maalinta ballanta ah (Qiyaamada).,
85,3,وَشَاهِدٖ وَمَشۡهُودٖ,3. Iyo Mid marag furi oo Nabiga ah iyo kuwo lagu marag furi 'oo ummadda ah.',
85,4,قُتِلَ أَصۡحَٰبُ ٱلۡأُخۡدُودِ,4. Lacnadi ha ku dhacdo qoladii godka lahaa (mu'miniinta lagu caddibo).,
85,5,ٱلنَّارِ ذَاتِ ٱلۡوَقُودِ,5. Ee ahaa dab olol iyo huritaan badan.,
85,6,إِذۡ هُمۡ عَلَيۡهَا قُعُودٞ,6. Iyagoo (gaaladu) kor fadhiyeen (godka).,
85,7,وَهُمۡ عَلَىٰ مَا يَفۡعَلُونَ بِٱلۡمُؤۡمِنِينَ شُهُودٞ,7. Waxay ka ahaayeen goob joog waxay ku falayeen (oo gardarro ah) Mu’miniinta.,
85,8,وَمَا نَقَمُواْ مِنۡهُمۡ إِلَّآ أَن يُؤۡمِنُواْ بِٱللَّهِ ٱلۡعَزِيزِ ٱلۡحَمِيدِ,"8. Kuma ay qoonsan wax kale aan aheyn inay rumeeyeen Allaah, Adkaadaha Sharafta leh, Ammaanan.",
85,9,ٱلَّذِي لَهُۥ مُلۡكُ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِۚ وَٱللَّهُ عَلَىٰ كُلِّ شَيۡءٖ شَهِيدٌ,9. Ee iska leh Mulkiga (iyo Maamulka) samooyinka iyo arlada! Alle wax walba waa u Jeedaa.,
85,10,إِنَّ ٱلَّذِينَ فَتَنُواْ ٱلۡمُؤۡمِنِينَ وَٱلۡمُؤۡمِنَٰتِ ثُمَّ لَمۡ يَتُوبُواْ فَلَهُمۡ عَذَابُ جَهَنَّمَ وَلَهُمۡ عَذَابُ ٱلۡحَرِيقِ,"10. Kuwa caddiba mu’miniinta iyo mu’minooyinka, haddana aan toobad keenin, waxay mudan cadaab Naar ah,  waxayna mudan cadaab gubeysa.",
85,11,إِنَّ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ جَنَّٰتٞ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۚ ذَٰلِكَ ٱلۡفَوۡزُ ٱلۡكَبِيرُ,"11. Kuwa (Xaqa) rumeeyey oo samaha fala, waxay leeyihiin beero hoostoodu ay webiyo qulqulaan (Janno). Kaasi baa ah Liibaanta Weyn.",
85,12,إِنَّ بَطۡشَ رَبِّكَ لَشَدِيدٌ,12. Qabashada Rabbigaa (Ciqaabtiisu) way daran tahay.,
85,13,إِنَّهُۥ هُوَ يُبۡدِئُ وَيُعِيدُ,13. (Alle) Isagaa uumay (uunka) dibna u soo nooleyn (dhimasho kaddib).,
85,14,وَهُوَ ٱلۡغَفُورُ ٱلۡوَدُودُ,"14. Waa Denbi Dhaaf Badanaha, Jecel (kuwa adeeca).",
85,15,ذُو ٱلۡعَرۡشِ ٱلۡمَجِيدُ,15. Rabbiga Carshiga Sharafta Badan.,
85,16,فَعَّالٞ لِّمَا يُرِيدُ,16. Falaha Weyn ee wuxuu Doono.,
85,17,هَلۡ أَتَىٰكَ حَدِيثُ ٱلۡجُنُودِ,"17. Ma ku soo gaaray warka ciidammadii,",
85,18,فِرۡعَوۡنَ وَثَمُودَ,18. Fircoon iyo Thamuud?,
85,19,بَلِ ٱلَّذِينَ كَفَرُواْ فِي تَكۡذِيبٖ,19. Kuwase gaalooba waxay ku sugan yihiin beeninta Xaqa.,
85,20,وَٱللَّهُ مِن وَرَآئِهِم مُّحِيطُۢ,20. Alle wuu koobay (kamana baxsan karaan).,
85,21,بَلۡ هُوَ قُرۡءَانٞ مَّجِيدٞ,21. Kani se waa Qur’aan Sharaf Badan.,
85,22,فِي لَوۡحٖ مَّحۡفُوظِۭ,22. Oo ku qoran Loox la dhowray (Looxul Maxfuudka).,
