surah,ayah,arabic_text,translation,footnotes
69,1,ٱلۡحَآقَّةُ,E Vërteta e pashmangshme![375],[375] Dita e Kiametit.
69,2,مَا ٱلۡحَآقَّةُ,Ç’është e Vërteta e pashmangshme?,
69,3,وَمَآ أَدۡرَىٰكَ مَا ٱلۡحَآقَّةُ,E kush do të ta shpjegojë ty se ç’është e Vërteta e pashmangshme?,
69,4,كَذَّبَتۡ ثَمُودُ وَعَادُۢ بِٱلۡقَارِعَةِ,"Fiset Themud dhe Ad e mohuan Gjëmimin e tmerrshëm[376],",[376] Kiametin.
69,5,فَأَمَّا ثَمُودُ فَأُهۡلِكُواْ بِٱلطَّاغِيَةِ,"prandaj fisi Themud u shkatërrua nga një ulërimë e tmerrshme,",
69,6,وَأَمَّا عَادٞ فَأُهۡلِكُواْ بِرِيحٖ صَرۡصَرٍ عَاتِيَةٖ,"kurse fisi Ad u shkatërrua nga një furtunë shungulluese të rreptë,",
69,7,سَخَّرَهَا عَلَيۡهِمۡ سَبۡعَ لَيَالٖ وَثَمَٰنِيَةَ أَيَّامٍ حُسُومٗاۖ فَتَرَى ٱلۡقَوۡمَ فِيهَا صَرۡعَىٰ كَأَنَّهُمۡ أَعۡجَازُ نَخۡلٍ خَاوِيَةٖ,të cilën Allahu ua dërgoi atyre shtatë net dhe tetë ditë pareshtur. Atëherë mund t’i vëreje njerëzit të përmbysur si trungjet e hurmave të kalbura.,
69,8,فَهَلۡ تَرَىٰ لَهُم مِّنۢ بَاقِيَةٖ,A sheh ndonjë gjurmë të tyre?,
69,9,وَجَآءَ فِرۡعَوۡنُ وَمَن قَبۡلَهُۥ وَٱلۡمُؤۡتَفِكَٰتُ بِٱلۡخَاطِئَةِ,"Faraoni, ata para tij dhe populli i qyteteve të rrënuara[377] kryen gjynahe të mëdha,",[377] Sodomës dhe Gomorës.
69,10,فَعَصَوۡاْ رَسُولَ رَبِّهِمۡ فَأَخَذَهُمۡ أَخۡذَةٗ رَّابِيَةً,"dhe e kundërshtuan të dërguarin e Zotit të tyre, andaj Allahu i zhbiu ata me dënim të ashpër.",
69,11,إِنَّا لَمَّا طَغَا ٱلۡمَآءُ حَمَلۡنَٰكُمۡ فِي ٱلۡجَارِيَةِ,"Kur vërshoi uji i madh, Ne ju ngarkuam ju[378] në anije,",[378] D.m.th. Nuhun - babanë e dytë të njerëzimit dhe besimtarët që ishin me të.
