surah,ayah,arabic_text,translation,footnotes
1,1,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,KWA JINA LA MWENYEEZI MUNGU MWINGI WA REHEMA MWENYE KUREHEMU .,"Sura inaanza kwa Jina la Mwenyezi Mungu ambaye hapana anayefaa kuabudiwa ila Yeye aliye sifika kwa kila sifa za ukamilifu, na ametakasika na kila la upungufu. Yeye ndiye Mwenye rehema ambaye ananeemesha kwa neema kubwa na ndogo, na za kuwapa wote, na za kuwapa walio khusika. Na Yeye ndiye mwenye kusifika kwa sifa ya Rehema yenye kudumu. (Kauli ya mwanzo aliyo semezwa Mtume s.a.w. na kuamrishwa na Mwenyezi Mungu ni ""Iqra` bismi Rabbika"", yaani: ""Soma kwa jina la Mola wako Mlezi!"" Naye Mtume s.a.w. amesema: ""Jambo lolote lisilo anziwa kwa Bismillahi ni pungufu."" Kila Sura ya Qur'ani, isipo kuwa Sura Attawba, imeanziwa kwa Bismillahi Rrahmani Rrahim.)"
1,2,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,"Sifa njema zote ni za Mwenyeezi Mungu, Mola Mlezi wa viumbe vyote;","Sifa njema za namna yote na katika kila hali ni za Mwenyezi Mungu pekee. Na tunamsifu Yeye kwa sifa zote kwa sababu Yeye ndiye mwenye kuviumba viumbe vyote na mwenye kuviangalia na kuvilea. (Neno Rabb, kwa Kiarabu, lina maana ya Ubwana na Ulezi na Utengenezaji. Ndiyo tukatumia Mola Mlezi. Neno Baba lina upungufu.)"
1,3,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,Mwingi wa Rehema Mwenye Kurehemu;,"Na Yeye ndiye Mwenye rehema ya kudumu, na rehema inatokana naye. Ananeemesha kwa neema zote ndogo na kubwa. (Arrahman ni jina lake Mwenyezi Mungu tu, na hafai mtu kuitwa hivyo.)"
1,4,مَٰلِكِ يَوۡمِ ٱلدِّينِ,Mwenye kumiliki siku ya malipo.,"Na Yeye peke yake ndiye Mwenye kumiliki Siku ya Malipo na Hisabu, yaani Siku ya Kiyama, anafanya atakavyo wala hapana mwenye kushirikiana naye walau kwa kuonekana tu."
1,5,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,"Wewe tu tunakuabudu, na wewe tu tunakuomba msaada.","Hatumuabudu yeyote ila Wewe tu, wala hatutaki msaada kwa yeyote ila kwako tu."
1,6,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,Tuongoe njia iliyonyooka.,"Tunakuomba utuwafikishe kuendea Njia ya haki, na kheri na mafanikio."
1,7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"Njia ya ulio waneemesha, siyo ya walio kasirikiwa, wala walio potea.","Na njia hiyo ndiyo ya waja wako ulio wawezesha kukuamini Wewe, na ukawajaalia neema ya uwongofu na radhi, sio njia ya walio stahiki kupata ghadhabu zako na wakaiwacha njia ya haki na kheri, kwa sababu hao wameitupa imani kukuamini Wewe na kuelekea kwenye uwongofu wako. (Hapana katika Vitabu vyote vitakatifu, vya dini zote, dua inayo lingana na hii kwa uzuri wake, na utimilivu wake. Baada ya kumsifu Mwenyezi Mungu kwa Rehema yake isio na ukomo wala kipimo, na kumshukuru Mola Mwenye kuviumba na kuviangalia na kuvilea kwa huruma viumbe vyote, na kuhakikisha kuwa tunajua kuwa hapana Mungu ila Yeye tu wa kuabudiwa na kuombwa msaada, na kuwa hapana wa kumuingilia katika Ufalme wake na Uwezo wake wa kulipa hisabu kwa kila alitendalo mtu, hapo tena ndio tunaomba. Na tunaomba nini? Si mkate wa kula, wala riziki yoyote, wala jambo lolote la manufaa ya kimwili duniani, bali tunaomba Uwongofu kwenye Njia Iliyo Nyooka, Njia ya kumwendea Yeye Mwenyezi Mungu Mwingi wa Rehema. Tunaomba tusiendee njia waliyo ifuata wale walio kasirikiwa na Mwenyezi Mungu, kwa kuwa walifunzwa wakajua, lakini kwa chuki na jeuri wakakataa kuongoka, wala sio njia ya wale ambao labda kwa ujinga wamepotea. Hiyo kwa mukhtasari ndiyo Dua ambayo Waislamu, wanafunzwa waiombe, na wanaiomba mara kadhaa wa kadhaa katika Sala zao, na katika kila fursa inapo tokea.)"
2,1,الٓمٓ,Alif Lam Mim.,"Alif Lam Mim: Mwenyezi Mungu Subhanahu wa Taala ameanzia kwa harufi hizi kuashiria moja katika miujiza ya Qur'ani Tukufu iliyo tungwa kwa harufi zile zile ambazo Waarabu wakitungia maneno yao, na juu ya hivyo wao wameemewa hawakuweza kuleta kitu mfano wa Qur'ani hii. Pia juu ya hivyo hizi harufi zinazindua ili upate kuzingatia yasemwayo."
2,2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,"Hiki ni Kitabu kisichokuwa na shaka ndani yake; ni uwongofu kwa wachamungu,","Hichi ndicho Kitabu kilicho kamilika, kisicho kuwa na dowa, nacho ni Qur'ani tunayo iteremsha isiyo tiliwa shaka yoyote na kila mwenye akili na mwenye insafu akajua kuwa inatoka kwa Mwenyezi Mungu. Wala haitilii shaka kuwa yasemwayo juu ya mambo na hukumu ni ya kweli tupu. Ndani ya Kitabu hichi upo uwongofu ulio kamilika kwa walio kuwa tayari kuitafuta Kweli, na wanajikinga na madhara na mambo ya kuwaletea adhabu."
2,3,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"Ambao huyaamini ya ghaibu na hushika Sala, na hutoa katika tuliyo wapa.","Na hawa ndio ambao, kwa kuazimia na kunyenyekea, wanayasadiki yale ya ghaibu wasio yaona kwa macho, wala kuyahisi kwa viungo, ambayo ni ya kuitakidiwa na kuaminiwa, kama mambo ya Malaika, Siku ya Akhera. Kwani msingi wa kushika Dini ni kuamini yaliyo ya ghaibu. Pia wakashika Swala vilivyo, kwa kumwelekea Mwenyezi Mungu na kumnyenyekea kikweli, na wale ambao wanatoa katika yale alio waruzuku Mwenyezi Mungu kwa ajili ya mambo ya kheri na mema."
