surah,ayah,arabic,translation
1,,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,KWA JINA LA MWENYEEZI MUNGU MWINGI WA REHEMA MWENYE KUREHEMU .
1,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,"Sifa njema zote ni za Mwenyeezi Mungu, Mola Mlezi wa viumbe vyote;"
1,,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,Mwingi wa Rehema Mwenye Kurehemu;
1,,مَٰلِكِ يَوۡمِ ٱلدِّينِ,Mwenye kumiliki siku ya malipo.
1,,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,"Wewe tu tunakuabudu, na wewe tu tunakuomba msaada."
1,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,Tuongoe njia iliyonyooka.
1,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"Njia ya ulio waneemesha, siyo ya walio kasirikiwa, wala walio potea."
2,,الٓمٓ,Alif Lam Mim.
2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,"Hiki ni Kitabu kisichokuwa na shaka ndani yake; ni uwongofu kwa wachamungu,"
2,,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"Ambao huyaamini ya ghaibu na hushika Sala, na hutoa katika tuliyo wapa."
2,,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,"Na ambao wanayaamini yaliyo teremshwa kwako, na yaliyo teremshwa kabla yako; na Akhera wana yakini nayo."
2,,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,"Hao wapo juu ya uwongofu utokao kwa Mola wao Mlezi, na hao ndio walio fanikiwa."
2,,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,"Hakika wale walio kufuru ni sawa kwao ukiwaonya au usiwaonye, hawaamini."
2,,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,"Mwenyezi Mungu amepiga muhuri juu ya nyoyo zao na juu ya masikio yao, na juu ya macho yao pana kifuniko. Basi watapata adhabu kubwa."
2,,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,"Na katika watu, wako wasemao: Tumemwamini Mwenyezi Mungu na Siku ya Mwisho, wala wao si wenye kuamini."
2,,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,"Wanatafuta kumdanganya Mwenyezi Mungu na wale walio amini, lakini hawadanganyi ila nafsi zao; nao hawatambui."
2,,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,"Nyoyoni mwao mna maradhi, na Mwenyezi Mungu amewazidishia maradhi. Basi watakuwa na adhabu chungu kwa sababu ya kusema kwao uwongo."
2,,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,Na wanapo ambiwa: Msifanye uharibifu ulimwenguni. Husema: Bali sisi ni watengenezaji.
