surah,ayah,arabic_text,translation,footnotes
67,1,تَبَٰرَكَ ٱلَّذِي بِيَدِهِ ٱلۡمُلۡكُ وَهُوَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٌ,AMETUKUKA ambaye mkononi mwake umo Ufalme wote; na Yeye ni Mwenye uweza juu ya kila kitu.,"Ametukuka, na amezidi baraka zake Mwenye kumiliki peke yake uwezo wa kuendesha mambo ya viumbe vyote. Na Yeye, juu ya kila kitu, anao uwezo ulio timia."
67,2,ٱلَّذِي خَلَقَ ٱلۡمَوۡتَ وَٱلۡحَيَوٰةَ لِيَبۡلُوَكُمۡ أَيُّكُمۡ أَحۡسَنُ عَمَلٗاۚ وَهُوَ ٱلۡعَزِيزُ ٱلۡغَفُورُ,Ambaye ameumba mauti na uhai ili kukujaribuni ni nani miongoni mwenu mwenye vitendo vizuri zaidi. Na Yeye ni Mwenye nguvu na Mwenye msamaha.,"Ambaye ndiye aliye umba mauti na uhai kwa makusudio anayo yataka Yeye, ili akufanyieni mtihani ni yupi katika nyinyi anaye fanya vitendo sawa, na mwenye niya safi. Na Yeye ni Mwenye kushinda, wala hashindiki kwa kitu, Mwenye msamaha kwa wenye upungufu."
67,3,ٱلَّذِي خَلَقَ سَبۡعَ سَمَٰوَٰتٖ طِبَاقٗاۖ مَّا تَرَىٰ فِي خَلۡقِ ٱلرَّحۡمَٰنِ مِن تَفَٰوُتٖۖ فَٱرۡجِعِ ٱلۡبَصَرَ هَلۡ تَرَىٰ مِن فُطُورٖ,Aliye umba mbingu saba kwa matabaka. Huoni tafauti yoyote katika uumbaji wa Mwingi wa Rehema. Hebu rudisha nadhari! Unaona kosa lolote?,"Yeye ndiye aliye zizua mbingu saba zilizo pandana kwa mpango mmoja sawa sawa. Huoni tafauti yoyote katika uundaji wa Mwenyezi Mungu, ambaye rehema yake imeenea kwenye viumbe vyake vyote. Basi hebu tazama tena, unaona khitilafu yoyote?"
67,4,ثُمَّ ٱرۡجِعِ ٱلۡبَصَرَ كَرَّتَيۡنِ يَنقَلِبۡ إِلَيۡكَ ٱلۡبَصَرُ خَاسِئٗا وَهُوَ حَسِيرٞ,"Tena rudisha nadhari mara mbili, nadhari yako itakurejea mwenyewe hali ya kuwa imehizika nayo imechoka.","Kisha tazama tena, na tena! Jicho lako linakurejea mwenyewe bila ya kugundua aibu yoyote, nalo limechoka."
67,5,وَلَقَدۡ زَيَّنَّا ٱلسَّمَآءَ ٱلدُّنۡيَا بِمَصَٰبِيحَ وَجَعَلۡنَٰهَا رُجُومٗا لِّلشَّيَٰطِينِۖ وَأَعۡتَدۡنَا لَهُمۡ عَذَابَ ٱلسَّعِيرِ,"Na kwa hakika tumeipamba mbingu ya karibu kwa mataa, na tumeyafanya ili kuwapigia mashetani, na tumewaandalia adhabu ya Moto uwakao kwa nguvu.","Na hakika Sisi tumeipamba mbingu hii ya karibu, unayo iona kwa macho, tumeipamba kwa nyota zinazo ng'aa. Na tumefanya katika hizo vimondo vya kuwapopolea mashetani; na Akhera tumewaandalia adhabu ya moto unao waka. Mbingu ni kila kilicho juu yetu kikatufunika. Amesema Ibn Sayyidih: Hiyo ni bahari ya anga na vyombo vyote viliomo ndani yake na vimondo. Na sura wanayo iona wakaazi wa duniani katika masiku yaliyo safi ni kama qubba la kibuluu lilio pambwa kwa nyota na sayari kama kwamba ni taa, kama unavyo ziona nyota za mkia, au vimondo, vinakwenda angani vikiungua huko juu ya ardhi. Na hilo qubba la kibuluu si chochote ila ni matokeo ya mwangaza wa jua na nyota pamoja na takataka za vumbi zinazo ning'inia katika hewa, na sehemu za hewa molecules zinazo tawanyika. Haya mbali na yanayo onekana katika mwangaza nafsi yake ambayo huipamba mbingu hii ya karibu, kama vile zile rangi nzuri nzuri za wakati wa kuchwa jua, au wakati wa kuchomoza jua alfajiri, na mianga ya njia za nyota, miangaza ya kaskazini, na miangaza ya katika sehema za Polar regions. Na hayo yote yanayo onekana ni matokeo ya kuingiliana mwanga pamoja na funiko la anga la ardhi na uwanja wake wa smaku, magnetic field."
67,6,وَلِلَّذِينَ كَفَرُواْ بِرَبِّهِمۡ عَذَابُ جَهَنَّمَۖ وَبِئۡسَ ٱلۡمَصِيرُ,Na kwa walio mkufuru Mola wao Mlezi ipo adhabu ya Jahannamu. Na ni marejeo maovu yalioje hayo!,Na kwa ajili ya wasio muamini Mola wao Mlezi tumewawekea adhabu ya Jahannamu. Na huo ndio mwisho muovu kweli kwao.
67,7,إِذَآ أُلۡقُواْ فِيهَا سَمِعُواْ لَهَا شَهِيقٗا وَهِيَ تَفُورُ,Watakapo tupwa humo watausikia mngurumo wake na huku inafoka.,"Wakitiwa humo watasikia sauti mbaya ya kuchusha, na huo moto unatokota kwa ukali,"
67,8,تَكَادُ تَمَيَّزُ مِنَ ٱلۡغَيۡظِۖ كُلَّمَآ أُلۡقِيَ فِيهَا فَوۡجٞ سَأَلَهُمۡ خَزَنَتُهَآ أَلَمۡ يَأۡتِكُمۡ نَذِيرٞ,Inakaribia kupasuka kwa hasira. Kila mara likitupwa kundi humo walinzi wake huwauliza: Kwani hakukujieni mwonyaji?,Unakaribia kukatika na kutawanyika kwa wingi wa kuwaghadhibikia. Kila likitumbukizwa kundi mojapo kati yao walinzi wake huwauliza kwa kuwakejeli: Kwani hakukujieni Mtume kukuhadharisheni na mkutano wa siku hii ya leo?
67,9,قَالُواْ بَلَىٰ قَدۡ جَآءَنَا نَذِيرٞ فَكَذَّبۡنَا وَقُلۡنَا مَا نَزَّلَ ٱللَّهُ مِن شَيۡءٍ إِنۡ أَنتُمۡ إِلَّا فِي ضَلَٰلٖ كَبِيرٖ,"Watasema: Kwani! Ametujia mwonyaji, lakini tulimkadhibisha, na tukasema: Mwenyezi Mungu hakuteremsha chochote. Nyinyi hamumo ila katika upotovu mkubwa!","Na wao watajibu: Ametujia mwonyaji, lakini sisi tulimkanusha tukamwambia mwongo, na tukasema: Mwenyezi Mungu hakukuteremshia chochote wewe wala Mitume wenginewe. Nyinyi mnao dai Utume si chochote ila ni watu walio potoka, na mko mbali na haki."
67,10,وَقَالُواْ لَوۡ كُنَّا نَسۡمَعُ أَوۡ نَعۡقِلُ مَا كُنَّا فِيٓ أَصۡحَٰبِ ٱلسَّعِيرِ,"Na watasema: Lau kuwa tungeli sikia, au tungeli kuwa na akili, tusingeli kuwa katika watu wa Motoni!","Na watasema: Lau kuwa tulikuwa tunasikia kama inavyo faa asikie mwenye kutaka ukweli wa mambo, au tunafikiri tunayo itiwa, tusinge kuwa miongoni mwa watu wa Motoni."
