surah,ayah,arabic_text,translation,footnotes
87,1,سَبِّحِ ٱسۡمَ رَبِّكَ ٱلۡأَعۡلَى,1. (நபியே!) மிக மேலான உமது இறைவனின் திருப்பெயரை நீர் புகழ்ந்து துதி செய்வீராக;,
87,2,ٱلَّذِي خَلَقَ فَسَوَّىٰ,"2. அவனே (எல்லா படைப்புகளையும்) படைத்து, (அவற்றை) ஒழுங்குபடுத்தியவன்.",
87,3,وَٱلَّذِي قَدَّرَ فَهَدَىٰ,"3. அவனே (அவற்றுக்கு வேண்டிய சகலவற்றையும்) நிர்ணயம் செய்து, (அவற்றை அடையக் கூடிய) வழிகளையும் (அவற்றுக்கு) அறிவித்தான்.",
87,4,وَٱلَّذِيٓ أَخۡرَجَ ٱلۡمَرۡعَىٰ,4. அவனே (கால்நடைகளுக்கு) மேய்ச்சல் பொருள்களையும் வெளிப்படுத்துகிறான்.,
87,5,فَجَعَلَهُۥ غُثَآءً أَحۡوَىٰ,5. பின்னர் அவற்றை உலர்ந்த சருகுகளாக ஆக்குகிறான்.,
87,6,سَنُقۡرِئُكَ فَلَا تَنسَىٰٓ,"6, 7. (நபியே! இந்த குர்ஆனை) நாம் உமக்கு ஓதக் கற்பிப்போம். அல்லாஹ் நாடினாலே தவிர, (அதில் எதையும்) நீர் மறக்க மாட்டீர். நிச்சயமாக அவன் மறைந்திருப்பவற்றையும் வெளிப்படையானதையும் நன்கறிகிறான்.",
87,7,إِلَّا مَا شَآءَ ٱللَّهُۚ إِنَّهُۥ يَعۡلَمُ ٱلۡجَهۡرَ وَمَا يَخۡفَىٰ,"6, 7. (நபியே! இந்த குர்ஆனை) நாம் உமக்கு ஓதக் கற்பிப்போம். அல்லாஹ் நாடினாலே தவிர, (அதில் எதையும்) நீர் மறக்க மாட்டீர். நிச்சயமாக அவன் மறைந்திருப்பவற்றையும் வெளிப்படையானதையும் நன்கறிகிறான்.",
87,8,وَنُيَسِّرُكَ لِلۡيُسۡرَىٰ,8. சொர்க்கப் பாதையை நாம் உமக்கு எளிதாக்கித் தருவோம்.,
87,9,فَذَكِّرۡ إِن نَّفَعَتِ ٱلذِّكۡرَىٰ,"9. ஆகவே, நல்லுபதேசம் (மக்களுக்குப்) பயனளிக்கின்ற வரை நீர் உபதேசித்துக் கொண்டே வருவீராக.",
87,10,سَيَذَّكَّرُ مَن يَخۡشَىٰ,"10. நிச்சயமாக எவர் (அல்லாஹ்வுக்குப்) பயப்படுகிறாரோ அவர், (இதைக் கொண்டு) நல்லறிவை அடைவார்.",
87,11,وَيَتَجَنَّبُهَا ٱلۡأَشۡقَى,"11. துர்ப்பாக்கியமுடையவனோ, இதிலிருந்து விலகிக்கொள்வான்.",
87,12,ٱلَّذِي يَصۡلَى ٱلنَّارَ ٱلۡكُبۡرَىٰ,"12. (எனினும்,) அவன் (நரகத்தின்) பெரிய நெருப்பை அடைவான். ",
87,13,ثُمَّ لَا يَمُوتُ فِيهَا وَلَا يَحۡيَىٰ,"13. பின்னர், அதில் அவன் மரணிக்கவுமாட்டான்; (சுகமாக) வாழவும் மாட்டான்.",
87,14,قَدۡ أَفۡلَحَ مَن تَزَكَّىٰ,"14. எவர் (பாவங்களை விட்டு விலகிப்) பரிசுத்தவானாக ஆனாரோ அவர், நிச்சயமாக வெற்றி பெற்றார்.",
87,15,وَذَكَرَ ٱسۡمَ رَبِّهِۦ فَصَلَّىٰ,"15. அவன் தன் இறைவனின் திருப்பெயரை நினைவு செய்து கொண்டும், தொழுது கொண்டுமிருப்பார்.",
87,16,بَلۡ تُؤۡثِرُونَ ٱلۡحَيَوٰةَ ٱلدُّنۡيَا,"16. எனினும், நீங்களோ (மறுமையை விட்டுவிட்டு) இவ்வுலக வாழ்க்கையைத் தேர்ந்தெடுத்துக் கொள்கிறீர்கள்.",
87,17,وَٱلۡأٓخِرَةُ خَيۡرٞ وَأَبۡقَىٰٓ,17. மறுமையின் வாழ்க்கைதான் மிக்க மேலானதும் நிலையானதுமாகும்.,
87,18,إِنَّ هَٰذَا لَفِي ٱلصُّحُفِ ٱلۡأُولَىٰ,"18. நிச்சயமாக இது முன்னுள்ள வேதங்களிலும்,",
87,19,صُحُفِ إِبۡرَٰهِيمَ وَمُوسَىٰ,"19. இப்ராஹீம், மூஸாவுடைய வேதங்களிலும் இருக்கிறது.",
