surah,ayah,arabic_text,translation,footnotes
44,1,حمٓ,ஹா மீம்.,
44,2,وَٱلۡكِتَٰبِ ٱلۡمُبِينِ,தெளிவான இந்த வேதத்தின் மீது சத்தியமாக!,
44,3,إِنَّآ أَنزَلۡنَٰهُ فِي لَيۡلَةٖ مُّبَٰرَكَةٍۚ إِنَّا كُنَّا مُنذِرِينَ,நிச்சயமாக நாம் அபிவிருத்தி செய்யப்பட்ட (அதிக நன்மைகளுடைய) ஓர் இரவில் இதை இறக்கினோம். நிச்சயமாக நாம் அச்சமூட்டி எச்சரிப்பவர்களாக இருந்தோம்.,
44,4,فِيهَا يُفۡرَقُ كُلُّ أَمۡرٍ حَكِيمٍ,"இதில்தான் ஞானமிக்க எல்லாக் காரியங்களும் முடிவு செய்யப்படுகின்றன,",
44,5,أَمۡرٗا مِّنۡ عِندِنَآۚ إِنَّا كُنَّا مُرۡسِلِينَ,"நம்மிடமிருந்து வருகின்ற கட்டளையின்படி. நிச்சயமாக நாம் (அவரை) தூதராக அனுப்பக் கூடியவர்களாகவே இருந்தோம்,",
44,6,رَحۡمَةٗ مِّن رَّبِّكَۚ إِنَّهُۥ هُوَ ٱلسَّمِيعُ ٱلۡعَلِيمُ,"(அவர்) உமது இறைவனின் ஓர் அருளாக இருக்கவேண்டும் என்பதற்காக. நிச்சயமாக அவன்தான் நன்கு செவியுறுபவன், நன்கறிந்தவன்.",
44,7,رَبِّ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَمَا بَيۡنَهُمَآۖ إِن كُنتُم مُّوقِنِينَ,"வானங்கள், பூமி, இன்னும் அவை இரண்டிற்கும் இடையில் உள்ளவற்றின் அதிபதி(யிடமிருந்து அவர் அருளாக அனுப்பப்பட்டு இருக்கிறார்). நீங்கள் (உண்மைகளை) உறுதியாக நம்பக் கூடியவர்களாக இருந்தால் (இதை உறுதியாக நம்பிக்கை கொள்ளுங்கள்)!",
44,8,لَآ إِلَٰهَ إِلَّا هُوَ يُحۡيِۦ وَيُمِيتُۖ رَبُّكُمۡ وَرَبُّ ءَابَآئِكُمُ ٱلۡأَوَّلِينَ,அவனைத் தவிர (உண்மையில் வணங்கத்தகுதியான) இறைவன் அறவே இல்லை. அவன் உயிர்ப்பிக்கிறான்; மரணிக்க வைக்கிறான்; அவன்தான் உங்கள் இறைவனும் முன்னோர்களான உங்கள் மூதாதைகளின் இறைவனும் ஆவான்.,
44,9,بَلۡ هُمۡ فِي شَكّٖ يَلۡعَبُونَ,"மாறாக, அவர்கள் (இந்த வேதத்தை நம்பிக்கை கொள்ளாமல்) சந்தேகத்தில் இருக்கிறார்கள்; (வீண் கேளிக்கைகளில்) விளையாடுகிறார்கள்.",
44,10,فَٱرۡتَقِبۡ يَوۡمَ تَأۡتِي ٱلسَّمَآءُ بِدُخَانٖ مُّبِينٖ,"ஆக, வானம் ஒரு தெளிவான புகையைக் கொண்டு வருகின்ற நாளை எதிர்பார்ப்பீராக!",
44,11,يَغۡشَى ٱلنَّاسَۖ هَٰذَا عَذَابٌ أَلِيمٞ,அது மக்களை சூழ்ந்துகொள்ளும். இது துன்புறுத்தும் தண்டனையாகும்.,
44,12,رَّبَّنَا ٱكۡشِفۡ عَنَّا ٱلۡعَذَابَ إِنَّا مُؤۡمِنُونَ,“எங்கள் இறைவா! எங்களை விட்டு தண்டனையை நீக்கி விடுவாயாக! நிச்சயமாக நாங்கள் (உன்னை நம்பிக்கை கொண்ட) நம்பிக்கையாளர்கள் ஆவோம்” (என்று அழுது பிரலாபிப்பார்கள்).,
44,13,أَنَّىٰ لَهُمُ ٱلذِّكۡرَىٰ وَقَدۡ جَآءَهُمۡ رَسُولٞ مُّبِينٞ,(தண்டனை வந்த பின்னர்) நல்லறிவு பெறுவது அவர்களுக்கு எப்படி பலன் தரும்? திட்டமாக அவர்களிடம் தெளிவான ஒரு தூதர் வந்தார்.,
44,14,ثُمَّ تَوَلَّوۡاْ عَنۡهُ وَقَالُواْ مُعَلَّمٞ مَّجۡنُونٌ,"பிறகு, அவர்கள் அவரை விட்டு விலகி சென்று விட்டனர். இன்னும், (பிற மனிதர்களால் இந்த வேதத்தை) கற்பிக்கப்பட்டவர், பைத்தியக்காரர் என்று (அவரைப் பற்றி) கூறினார்கள்.",
44,15,إِنَّا كَاشِفُواْ ٱلۡعَذَابِ قَلِيلًاۚ إِنَّكُمۡ عَآئِدُونَ,"நிச்சயமாக நாம் இந்த தண்டனையை கொஞ்சம் நீக்குவோம். (ஆனால்,) நிச்சயமாக நீங்கள் (உங்கள் வழிகேட்டின் பக்கமே) திரும்புவீர்கள்.",
44,16,يَوۡمَ نَبۡطِشُ ٱلۡبَطۡشَةَ ٱلۡكُبۡرَىٰٓ إِنَّا مُنتَقِمُونَ,பெரிய தாக்குதலாக (அவர்களை) நாம் தாக்குகின்ற நாளில் (அவர்களிடம்) நிச்சயமாக நாம் பழி வாங்குவோம்.,
44,17,۞ وَلَقَدۡ فَتَنَّا قَبۡلَهُمۡ قَوۡمَ فِرۡعَوۡنَ وَجَآءَهُمۡ رَسُولٞ كَرِيمٌ,"இவர்களுக்கு முன்னர் நாம் ஃபிர்அவ்னுடைய மக்களை திட்டவட்டமாக சோதித்தோம். இன்னும், அவர்களிடம் கண்ணியமான ஒரு தூதர் வந்தார்.",
44,18,أَنۡ أَدُّوٓاْ إِلَيَّ عِبَادَ ٱللَّهِۖ إِنِّي لَكُمۡ رَسُولٌ أَمِينٞ,(அவர் கூறினார்:) “நிச்சயமாக அல்லாஹ்வின் அடியார்களை என்னிடம் ஒப்படைத்து விடுங்கள்! நிச்சயமாக நான் உங்களுக்கு (அனுப்பப்பட்ட) நம்பிக்கைக்குரிய தூதர் ஆவேன்.”,
44,19,وَأَن لَّا تَعۡلُواْ عَلَى ٱللَّهِۖ إِنِّيٓ ءَاتِيكُم بِسُلۡطَٰنٖ مُّبِينٖ,"“இன்னும், நிச்சயமாக அல்லாஹ்விற்கு முன் பெருமை அடிக்காதீர்கள்! (அவனது அடியார்கள் மீது அழிச்சாட்டியம் செய்யாதீர்கள்.) நிச்சயமாக நான் உங்களிடம் தெளிவான ஆதாரத்தைக் கொண்டு வருவேன்.”",
