surah,ayah,arabic,translation
1,,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,అనంత కరుణామయుడు అపార కరుణా ప్రదాత అయిన అల్లాహ్[1] పేరుతో[2]
1,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,సర్వలోకాలకు ప్రభువైన[1] అల్లాహ్ మాత్రమే సమస్త స్తోత్రాలకు అర్హుడు[2].
1,,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"అనంత కరుణామయుడు, అపార కరుణా ప్రదాత[1]"
1,,مَٰلِكِ يَوۡمِ ٱلدِّينِ,తీర్పుదినానికి[1] స్వామి[2].
1,,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,మేము నిన్నే ఆరాధిస్తున్నాము మరియు నీ సహాయాన్నే అర్థిస్తున్నాము.[1]
1,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,మాకు ఋజుమార్గం[1] వైపునకు మార్గదర్శకత్వం చేయి.
1,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,నీవు అనుగ్రహించిన[1] వారి మార్గం మాత్రమే (చూపు) నీ ఆగ్రహానికి[2] గురి అయిన వారి (మార్గం కానీ) లేక మార్గభ్రష్టులైన వారి (మార్గం కానీ) కాదు.
2,,الٓمٓ,అలిఫ్-లామ్-మీమ్[1]
2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,ఇది (ఈ ఖుర్ఆన్) ఒక దివ్య గ్రంథం; ఇందులో ఏ మాత్రం సందేహం లేదు. దైవభీతి[1] గలవారికి ఇది మార్గదర్శకత్వము.
2,,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"(వారికి) ఎవరైతే అగోచర యథార్థాన్ని[1] విశ్వసిస్తారో, నమాజ్ను స్థాపిస్తారో[2] మరియు మేము ప్రసాదించిన జీవనోపాధి నుండి (మా మార్గంలో) ఖర్చు చేస్తారో[3];"
2,,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,మరియు ఎవరైతే (ఓ ముహమ్మద్!) నీపై అవతరింప జేయబడిన దానిని (ఈ ఖుర్ఆన్ ను)[1] మరియు నీకు పూర్వం అవతరింప జేయబడిన వాటినీ (దివ్య గ్రంథాలను) విశ్వసిస్తారో మరియు పరలోక జీవితాన్ని దృఢంగా నమ్ముతారో!
2,,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,అలాంటి వారే తమ ప్రభువు (చూపిన) సన్మార్గంలో ఉన్నవారు మరియు అలాంటి వారే సాఫల్యం పొందేవారు
2,,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,"నిశ్చయంగా, సత్యతిరస్కారులను (ఓ ముహమ్మద్!) నీవు హెచ్చరించినా, హెచ్చరించక పోయినా ఒకటే, వారు విశ్వసించేవారు కారు."
2,,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,అల్లాహ్ వారి హృదయాల మీద మరియు వారి చెవుల మీద ముద్ర వేశాడు[1]. మరియు వారి కన్నుల మీద తెర పడి ఉన్నది. మరియు వారి కొరకు ఘోరమైన శిక్ష ఉంది.
2,,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,"మరియు ప్రజలలో కొందరు: ""మేము అల్లాహ్ నూ మరియు అంతిమ దినాన్నీ విశ్వసించాము."" అని, అనే వారున్నారు. కానీ (వాస్తవానికి) వారు విశ్వసించేవారు కారు"
2,,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,"వారు, తాము అల్లాహ్ నూ మరియు విశ్వసించిన వారినీ మోసగిస్తున్నారని (అనుకుంటున్నారు); కానీ వారు తమను తాము తప్ప మరెవ్వరినీ మోసగించటం లేదు, కాని వారది గ్రహించటం లేదు!"
2,,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,"వారి హృదయాలలో రోగముంది[1]. కాబట్టి అల్లాహ్ వారి రోగాన్ని మరింత అధికం చేశాడు. మరియు వారు అసత్యం పలుకుతూ ఉండటం వలన, వారికి బాధాకరమైన శిక్ష ఉంది."
2,,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,"మరియు: ""భువిలో కల్లోలం[1] రేకెత్తించకండి."" అని వారితో అన్నప్పుడు; వారు: ""మేము సంస్కర్తలము మాత్రమే!"" అని అంటారు"
