surah,ayah,arabic_text,translation,footnotes
37,1,وَٱلصَّٰٓفَّٰتِ صَفّٗا,వరుసగా బారులు తీరి నిలుచున్న వారి (దైవదూతల) సాక్షిగా!,
37,2,فَٱلزَّٰجِرَٰتِ زَجۡرٗا,మేఘాలను నడిపించే వారి (దైవదూతల) సాక్షిగా![1],[1] ఈ ఆయత్ ఈ విధంగా కూడా వివరించబడింది. 'తరుమగొట్టే వారి సాక్షిగా!'
37,3,فَٱلتَّٰلِيَٰتِ ذِكۡرًا,"ఈ ఉపదేశాన్ని (ఖుర్ఆన్ ను, అల్లాహ్ దగ్గరి నుండి మానవులకు) తెచ్చే వారి (దైవదూతల) సాక్షిగా![1]",[1] ఈ ఆయత్: 'ఖుర్ఆన్ పఠించేవాని సాక్షిగా!' అని కూడా వివరించబడింది.
37,4,إِنَّ إِلَٰهَكُمۡ لَوَٰحِدٞ,"నిశ్చయంగా, మీ ఆరాధ్య దైవం కేవలం ఆయన (అల్లాహ్) ఒక్కడే![1]",[1] పై మూడు ఆయతులలో దైవదూత ('అ.స.)ల వివిధ కార్యాలు వివరించబడ్డాయి. ప్రతిదీ అల్లాహ్ (సు.తా.) యొక్క సృష్టి మరియు ఆయనకు చెందినదే. కావున ఆయన తాను కోరిన దాని ప్రమాణం చేస్తాడు. కాని మానవులకు అల్లాహ్ (సు.తా.) తప్ప ఇతరుల ప్రమాణం చేయటం నిషిద్ధం ('హరాం) ఎందుకంటే ప్రమాణం తీసుకునే దానిని సాక్షిగా తీసుకోవలసి ఉంటుంది. మానవునికి అల్లాహ్ (సు.తా.) తప్ప మరొక ఉత్తమ సాక్షి లేడు. ఎందుకంటే కేవలం అల్లాహ్ (సు.తా.) యే సర్వసాక్షి.
37,5,رَّبُّ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَمَا بَيۡنَهُمَا وَرَبُّ ٱلۡمَشَٰرِقِ,ఆకాశాలు మరియు భూమి మరియు వాటి మధ్యనున్న వాటి ప్రభువు మరియు సూర్యోదయ (తూర్పు) స్థలాలకు ప్రభువు.[1],"[1] చూడండి, 55:17. అక్కడ రెండు తూర్పులు మరియు రెండు పడమరలు అని ఉంది. అంటే చలికాలం మరియు వేసవి కాలంలో సూర్యోదయం మరియు సూర్యాస్తమయం అయ్యే రెండు చివరలు. వాస్తవానికి సంవత్సరపు ప్రతి రోజున సూర్యుడు ఒక క్రొత్త చోటునుండి ఉదయిస్తాడు మరియు ఒక క్రొత్త చోటులో అస్తమిస్తాడు (ఫ'త్హ్ అల్-ఖదీర్)."
37,6,إِنَّا زَيَّنَّا ٱلسَّمَآءَ ٱلدُّنۡيَا بِزِينَةٍ ٱلۡكَوَاكِبِ,"నిశ్చయంగా, మేము భూలోకానికి దగ్గరి ఆకాశాన్ని నక్షత్ర సముదాయాలతో అలంకరించాము;",
37,7,وَحِفۡظٗا مِّن كُلِّ شَيۡطَٰنٖ مَّارِدٖ,మరియు ధిక్కారి అయిన ప్రతి షైతాన్ నుండి కాపాడటానికి; [1],"[1] చూడండి, 15:17 నక్షత్రాల ఉనికికి మూడు కారణాలున్నాయి. 1) ఆకాశపు అలంకరణ. 2) షైతానులు ఆకాశాలలోకి పోయి దైవదూతల మాటలు వినటానికి ప్రయత్నిస్తే వాటిని తరుమటం. 3) రాత్రి చీకటిలో మానవులకు మార్దదర్శకము చేయటం. ఈ మూడు తప్ప ఇతర ఉపయోగాలు పేర్కొనబడలేదు."
37,8,لَّا يَسَّمَّعُونَ إِلَى ٱلۡمَلَإِ ٱلۡأَعۡلَىٰ وَيُقۡذَفُونَ مِن كُلِّ جَانِبٖ,"ఇక వారు (షైతాన్ లు), ఉన్నత స్థానాలలో ఉన్న నాయకుల (దైవదూతల) మాటలు వినలేరు మరియు వారు ప్రతి దిక్కు నుండి తరుమబడుతూ ఉంటారు.",
37,9,دُحُورٗاۖ وَلَهُمۡ عَذَابٞ وَاصِبٌ,(ఎందుకంటే) వారు (షైతాన్ లు) బహిష్కరించ బడ్డారు. మరియు వారికి నిరంతరమైన శిక్ష ఉంది.,
37,10,إِلَّا مَنۡ خَطِفَ ٱلۡخَطۡفَةَ فَأَتۡبَعَهُۥ شِهَابٞ ثَاقِبٞ,"కాని, ఎవడైనా (ఏ షైతానైనా), దేనినైనా ఎగురవేసుకొని పోతున్నట్లైతే, మండే అగ్నిజ్వాల అతనిని వెంబడిస్తుంది.[1]","[1] చూడండి, 15:18."
37,11,فَٱسۡتَفۡتِهِمۡ أَهُمۡ أَشَدُّ خَلۡقًا أَم مَّنۡ خَلَقۡنَآۚ إِنَّا خَلَقۡنَٰهُم مِّن طِينٖ لَّازِبِۭ,"అయితే వారిని అడగిండి: ""ఏమీ? వారు (మానవులు) దృఢమైన సృష్టా! లేక, మేము సృష్టించింది (ఈ సృష్టి దృఢమైనదా?"" నిశ్చయంగా, మేము వారిని జిగట మట్టి (తీనిల్లాజిబ్) తో సృష్టించాము.",
37,12,بَلۡ عَجِبۡتَ وَيَسۡخَرُونَ,"వాస్తవానికి, నీవైతే ఆశ్చర్యపడుతున్నావు, కాని వారు ఎగతాళి చేస్తున్నారు.",
37,13,وَإِذَا ذُكِّرُواْ لَا يَذۡكُرُونَ,"మరియు వారికి ఉపదేశమిచ్చినపుడు, వారు దానిని స్వీకరించరు.",
37,14,وَإِذَا رَأَوۡاْ ءَايَةٗ يَسۡتَسۡخِرُونَ,"మరియు వారొక సంకేతాన్ని చూసినప్పుడు, దానిని ఎగతాళి చేస్తారు.",
37,15,وَقَالُوٓاْ إِنۡ هَٰذَآ إِلَّا سِحۡرٞ مُّبِينٌ,"మరియు వారిలా అంటారు: ""ఇది స్పష్టమైన మంత్రజాలం మాత్రమే!""",
37,16,أَءِذَا مِتۡنَا وَكُنَّا تُرَابٗا وَعِظَٰمًا أَءِنَّا لَمَبۡعُوثُونَ,"""ఏమిటి? మేము మరణించి మట్టిగా, ఎముకలుగా (అస్తిపంజరంగా) మారిపోయిన తరువాత కూడా మరల సజీవులుగా లేపబడతామా?""",
37,17,أَوَءَابَآؤُنَا ٱلۡأَوَّلُونَ,"""ఏమిటి? మరియు పూర్వీకులైన మా తాతముత్తాతలు కూడానా?""",
37,18,قُلۡ نَعَمۡ وَأَنتُمۡ دَٰخِرُونَ,"వారితో ఇలా అను: ""అవును! అప్పుడు మీరు అధమమైన వారు అవుతారు."" [1]","[1] చూడండి, 27:87 మరియు 40:60."
