surah,ayah,arabic_text,translation,footnotes
79,1,وَٱلنَّٰزِعَٰتِ غَرۡقٗا,"Савганд ба фариштагоне, ки ҷон [-и кофирон]-ро ба шиддат берун мекашанд",
79,2,وَٱلنَّٰشِطَٰتِ نَشۡطٗا,"Ва савганд ба фариштагоне, ки ҷон [-и муъминон]-ро ба нармӣ ва осонӣ мегиранд",
79,3,وَٱلسَّٰبِحَٰتِ سَبۡحٗا,"Ва савганд ба фариштагоне, ки [ба амри Аллоҳ таоло аз осмон ба сӯйи замин] шиноваранд",
79,4,فَٱلسَّٰبِقَٰتِ سَبۡقٗا,"Ва савганд ба фариштагоне, ки [дар иҷрои авомири илоҳӣ] бар якдигар сабқат мегиранд",
79,5,فَٱلۡمُدَبِّرَٰتِ أَمۡرٗا,Ва савганд ба фариштагоне [ки ба амри илоҳӣ] корҳоро тадбир мекунанд,
79,6,يَوۡمَ تَرۡجُفُ ٱلرَّاجِفَةُ,"Рӯзе, ки [пас аз аввалин дамидан дар сур] замин [ва кӯҳҳо ва ҳама чиз] ба ларза дарояд",
79,7,تَتۡبَعُهَا ٱلرَّادِفَةُ,[Ва] Дар пайи он [дамидани дувуми ҳашр] биёяд,
79,8,قُلُوبٞ يَوۡمَئِذٖ وَاجِفَةٌ,Дар он рӯз дилҳое сахт музтариб [ва тарсон] аст,
79,9,أَبۡصَٰرُهَا خَٰشِعَةٞ,Ва чашмҳои онон [аз тарсу шармсорӣ] фуру афтодааст,
79,10,يَقُولُونَ أَءِنَّا لَمَرۡدُودُونَ فِي ٱلۡحَافِرَةِ,[Кофирон дар дунё] Мегӯянд: «Оё мо [пас аз марг дубора] ба ҳоли аввали худ бозгардонда мешавем?,
79,11,أَءِذَا كُنَّا عِظَٰمٗا نَّخِرَةٗ,"Оё ҳангоме ки устухонҳои пӯсида шудем [ва ба хок табдил гаштем, боз ҳам зинда мешавем]?»",
79,12,قَالُواْ تِلۡكَ إِذٗا كَرَّةٌ خَاسِرَةٞ,Гӯянд: «[Агар чунин ваъдае дуруст бошад] он гоҳ он бозгаште зиёнбор аст»,
79,13,فَإِنَّمَا هِيَ زَجۡرَةٞ وَٰحِدَةٞ,Пас он [бозгашт] танҳо бо як бонги боҳайбат аст,
79,14,فَإِذَا هُم بِٱلسَّاهِرَةِ,Ва ногаҳон ҳамагӣ бар арсаи замин [-и маҳшар] зоҳир] мешаванд,
79,15,هَلۡ أَتَىٰكَ حَدِيثُ مُوسَىٰٓ,[Эй Паёмбар] Оё достони Мӯсо ба ту расидааст?,
79,16,إِذۡ نَادَىٰهُ رَبُّهُۥ بِٱلۡوَادِ ٱلۡمُقَدَّسِ طُوًى,Он гоҳ ки Парвардигораш ӯро дар сарзамини муқаддаси «Туво» нидо дод [ва фармуд],
79,17,ٱذۡهَبۡ إِلَىٰ فِرۡعَوۡنَ إِنَّهُۥ طَغَىٰ,"«Ба сӯи Фиръавн бирав, ки ӯ туғён кардааст",
79,18,فَقُلۡ هَل لَّكَ إِلَىٰٓ أَن تَزَكَّىٰ,Ва ба ӯ бигӯ: «Оё мехоҳӣ [аз куфру гуноҳ] пок шавӣ?,
79,19,وَأَهۡدِيَكَ إِلَىٰ رَبِّكَ فَتَخۡشَىٰ,"Ва ман туро ба сӯйи Парвардигорат ҳидоят кунам, то [аз Ӯ] битарсӣ [ва фармонбардор шавӣ]?",
79,20,فَأَرَىٰهُ ٱلۡأٓيَةَ ٱلۡكُبۡرَىٰ,"Пас, [Мусо] муъҷизаи бузургро ба ӯ нишон дод",
79,21,فَكَذَّبَ وَعَصَىٰ,Аммо ӯ такзибу саркашӣ кард,
79,22,ثُمَّ أَدۡبَرَ يَسۡعَىٰ,Сипас пушт кард ва ба кӯшишу талош [алайҳи ӯ] пардохт,
79,23,فَحَشَرَ فَنَادَىٰ,"Пас, [қавмашро] ҷамъ карду нидо дод",
79,24,فَقَالَ أَنَا۠ رَبُّكُمُ ٱلۡأَعۡلَىٰ,Ва гуфт: «Ман Парвардигори бартари шумо ҳастам»,
79,25,فَأَخَذَهُ ٱللَّهُ نَكَالَ ٱلۡأٓخِرَةِ وَٱلۡأُولَىٰٓ,"Пас, Аллоҳ таоло ӯро ба азоби охират ва дунё гирифтор кард",
79,26,إِنَّ فِي ذَٰلِكَ لَعِبۡرَةٗ لِّمَن يَخۡشَىٰٓ,"Бе гумон, дар ин [воқеа] барои ҳар кас, ки [аз Аллоҳ таоло] метарсад, ибрате ҳаст",
79,27,ءَأَنتُمۡ أَشَدُّ خَلۡقًا أَمِ ٱلسَّمَآءُۚ بَنَىٰهَا,"Оё офариниши шумо [баъд аз марг] сахттар аст ё осмоне, ки [Аллоҳ таоло] онро бино кард?",
79,28,رَفَعَ سَمۡكَهَا فَسَوَّىٰهَا,Сақфи онро барафрошту ба он шаклу назм дод,
79,29,وَأَغۡطَشَ لَيۡلَهَا وَأَخۡرَجَ ضُحَىٰهَا,Ва шабашро торик ва рӯзашро равшан гардонид,
79,30,وَٱلۡأَرۡضَ بَعۡدَ ذَٰلِكَ دَحَىٰهَآ,Ва заминро баъд аз он густаронид,
79,31,أَخۡرَجَ مِنۡهَا مَآءَهَا وَمَرۡعَىٰهَا,Ва аз он об [чашмаҳо ва чоҳҳо ва] чарогоҳашро берун овард,
79,32,وَٱلۡجِبَالَ أَرۡسَىٰهَا,Ва кӯҳҳоро муҳкам ва устувор [бар рӯйи замин] қарор дод,
79,33,مَتَٰعٗا لَّكُمۡ وَلِأَنۡعَٰمِكُمۡ,[Ҳамаи инҳо] барои баҳрагирии шумо ва чаҳорпоёнатон аст,
