surah,ayah,arabic_text,translation,footnotes
96,1,ٱقۡرَأۡ بِٱسۡمِ رَبِّكَ ٱلَّذِي خَلَقَ,"[Эй Паёмбар] Бихон ба номи Парвардигорат, ки [ҳастиро] офарид",
96,2,خَلَقَ ٱلۡإِنسَٰنَ مِنۡ عَلَقٍ,"[Ҳамон Парвардигоре, ки] Инсонро аз хуни баста офарид",
96,3,ٱقۡرَأۡ وَرَبُّكَ ٱلۡأَكۡرَمُ,Бихон ва Парвардигорат [аз ҳама] бузургвортар аст,
96,4,ٱلَّذِي عَلَّمَ بِٱلۡقَلَمِ,"[Ҳамон] Касе, ки ба василаи қалам [навиштан] омӯхт",
96,5,عَلَّمَ ٱلۡإِنسَٰنَ مَا لَمۡ يَعۡلَمۡ,"Ба инсон он чиро, ки намедонист, омӯхт",
96,6,كَلَّآ إِنَّ ٱلۡإِنسَٰنَ لَيَطۡغَىٰٓ,"Чунин нест [ки шумо мепиндоред]; ҳаққо, ки инсон туғён [ва саркашӣ] мекунад",
96,7,أَن رَّءَاهُ ٱسۡتَغۡنَىٰٓ,[Баъд] Аз ин ки худро бениёз [ва тавонгар] бубинад,
96,8,إِنَّ إِلَىٰ رَبِّكَ ٱلرُّجۡعَىٰٓ,"Яқинан, бозгашт [-и ҳама] ба сӯйи Парвардигори туст",
96,9,أَرَءَيۡتَ ٱلَّذِي يَنۡهَىٰ,"[Эй Паёмбар] Оё дидаӣ он касе, ки [аз ибодати Аллоҳ таоло] бозмедорад",
96,10,عَبۡدًا إِذَا صَلَّىٰٓ,"Бандаеро, ҳангоме ки намоз мехонад",
96,11,أَرَءَيۡتَ إِن كَانَ عَلَى ٱلۡهُدَىٰٓ,"Ба ман хабар бидеҳ, агар ин [банда] бар [роҳи] ҳидоят бошад",
96,12,أَوۡ أَمَرَ بِٱلتَّقۡوَىٰٓ,"[Мардумро] Ба парҳезкорӣ фармон диҳад [пас, сазои касе, ки чунин бандаеро биёзорад чист?]",
96,13,أَرَءَيۡتَ إِن كَذَّبَ وَتَوَلَّىٰٓ,"Ба ман хабар деҳ, агар ин [шахси саркаш ҳақро] такзиб кард ва рӯйгардон шуд [оё сазовори азоб нест?]",
96,14,أَلَمۡ يَعۡلَم بِأَنَّ ٱللَّهَ يَرَىٰ,"Оё намедонад, ки бе тардид, Аллоҳ таоло [ҳама аъмолашро] мебинад?",
96,15,كَلَّا لَئِن لَّمۡ يَنتَهِ لَنَسۡفَعَۢا بِٱلنَّاصِيَةِ,"Чунин нест [ки ӯ гумон мекунад]; агар боз наояд [ва даст аз шарорат барнадорад], ҳатман, мӯйи пешониашро ба сахтӣ хоҳем гирифт [ва ба сӯйи дузах хоҳем кашонид]",
96,16,نَاصِيَةٖ كَٰذِبَةٍ خَاطِئَةٖ,Мӯйи пешонии [ҳамон] дурӯғгӯи хатокорро,
96,17,فَلۡيَدۡعُ نَادِيَهُۥ,"Пас, бояд ҳаммаҷлисонашро [ба кумак] бихонад",
96,18,سَنَدۡعُ ٱلزَّبَانِيَةَ,Мо [низ] оташбонони [дузах]-ро фаро хоҳем хонд,
96,19,كَلَّا لَا تُطِعۡهُ وَٱسۡجُدۡۤ وَٱقۡتَرِب۩,Чунин нест [ки ӯ мепиндорад]; ҳаргиз ӯро итоат макун ва саҷда кун ва [ба Аллоҳ таоло] тақарруб ҷӯй,
