surah,ayah,arabic_text,translation,footnotes
79,1,وَٱلنَّٰزِعَٰتِ غَرۡقٗا,"Sumpa man sa mga [anghel na] nag-aalis[1] sa isang paghatak [na marahas],",[1] ng kaluluwa ng tagatangging sumampalataya
79,2,وَٱلنَّٰشِطَٰتِ نَشۡطٗا,"sumpa man sa mga [anghel na] humahablot[2] sa isang paghunos [malumanay],",[2] ng kaluluwa ng mananampalataya
79,3,وَٱلسَّٰبِحَٰتِ سَبۡحٗا,"sumpa man sa mga [anghel na] lumalangoy sa isang paglangoy,[3]",[3] mula sa langit papunta sa lupa
79,4,فَٱلسَّٰبِقَٰتِ سَبۡقٗا,"saka sa mga [anghel na] nag-uunahan sa isang pag-uunahan [sa pagtalima],",
79,5,فَٱلۡمُدَبِّرَٰتِ أَمۡرٗا,"saka sa mga [anghel na] nagpapatupad ng utos,",
79,6,يَوۡمَ تَرۡجُفُ ٱلرَّاجِفَةُ,"sa araw na yayanig ang tagayanig,[4]",[4] sa unang pag-ihip sa tambuli
79,7,تَتۡبَعُهَا ٱلرَّادِفَةُ,at susunod dito ang kasunod [na pag-ihip sa tambuli].[5],[5] na pag-ihip sa tambuli
79,8,قُلُوبٞ يَوۡمَئِذٖ وَاجِفَةٌ,May mga puso sa araw na iyon na kakabug-kabog.,
79,9,أَبۡصَٰرُهَا خَٰشِعَةٞ,Ang mga paningin ng mga ito ay nagpapakumbaba.,
79,10,يَقُولُونَ أَءِنَّا لَمَرۡدُودُونَ فِي ٱلۡحَافِرَةِ,Nagsasabi sila [sa Mundo]: “Tunay bang kami ay talagang mga pababalikin sa dating kalagayan?,
79,11,أَءِذَا كُنَّا عِظَٰمٗا نَّخِرَةٗ,Kapag ba kami ay naging mga butong nabukbok?”,
79,12,قَالُواْ تِلۡكَ إِذٗا كَرَّةٌ خَاسِرَةٞ,Magsasabi sila: “Iyon samakatuwid ay isang pagbalik na lugi.”,
79,13,فَإِنَّمَا هِيَ زَجۡرَةٞ وَٰحِدَةٞ,"Ngunit ito[6] ay nag-iisang bulyaw lamang,",[6] ang ikalawang pag-ihip sa tambuli sa pagkabuhay
79,14,فَإِذَا هُم بِٱلسَّاهِرَةِ,saka biglang sila ay [buhay] sa balat ng lupa.,
79,15,هَلۡ أَتَىٰكَ حَدِيثُ مُوسَىٰٓ,Nakarating kaya sa iyo ang sanaysay kay Moises?,
79,16,إِذۡ نَادَىٰهُ رَبُّهُۥ بِٱلۡوَادِ ٱلۡمُقَدَّسِ طُوًى,Noong nanawagan sa kanya ang Panginoon niya sa pinabanal na lambak ng Ṭuwā:,
79,17,ٱذۡهَبۡ إِلَىٰ فِرۡعَوۡنَ إِنَّهُۥ طَغَىٰ,“Pumunta ka kay Paraon – tunay na siya ay nagmalabis –,
79,18,فَقُلۡ هَل لَّكَ إِلَىٰٓ أَن تَزَكَّىٰ,saka magsabi ka: Ukol kaya sa iyo na magpakabusilak ka,
79,19,وَأَهۡدِيَكَ إِلَىٰ رَبِّكَ فَتَخۡشَىٰ,at magpatnubay ako sa iyo tungo sa Panginoon mo para matakot ka [sa Kanya]?”,
79,20,فَأَرَىٰهُ ٱلۡأٓيَةَ ٱلۡكُبۡرَىٰ,"Kaya ipinakita niya[7] rito ang tandang pinakamalaki[8] [na himala ng tungkod at puting kamay],",[7] si Moises [8] na himala ng tungkod at putting kamay
79,21,فَكَذَّبَ وَعَصَىٰ,ngunit nagpasinungaling ito[9] at sumuway ito.,[9] si Paraon
79,22,ثُمَّ أَدۡبَرَ يَسۡعَىٰ,Pagkatapos tumalikod ito na nagpupunyagi [laban kay Moises].,
79,23,فَحَشَرَ فَنَادَىٰ,Kaya kumalap ito [ng mga kawal] saka nanawagan,
79,24,فَقَالَ أَنَا۠ رَبُّكُمُ ٱلۡأَعۡلَىٰ,saka nagsabi: “Ako ay ang panginoon ninyong pinakamataas.”,
79,25,فَأَخَذَهُ ٱللَّهُ نَكَالَ ٱلۡأٓخِرَةِ وَٱلۡأُولَىٰٓ,Kaya nagpataw rito si Allāh ng parusang panghalimbawa[10] sa Kabilang-buhay at Unang-buhay.,[10] sa pamamagitan ng pagkalunod sa Mundo at pagpasok sa pinakamatinding pagdurusa sa Kabilang-buhay.
79,26,إِنَّ فِي ذَٰلِكَ لَعِبۡرَةٗ لِّمَن يَخۡشَىٰٓ,Tunay na sa gayon ay talagang may maisasaalang-alang para sa sinumang natatakot [kay Allāh].,
79,27,ءَأَنتُمۡ أَشَدُّ خَلۡقًا أَمِ ٱلسَّمَآءُۚ بَنَىٰهَا,"Kayo ba ay higit na matindi sa pagkakalikha o ang langit, na ipinatayo Niya?",
79,28,رَفَعَ سَمۡكَهَا فَسَوَّىٰهَا,Nag-angat Siya ng tuktok nito at humubog Siya nito.,
79,29,وَأَغۡطَشَ لَيۡلَهَا وَأَخۡرَجَ ضُحَىٰهَا,Nagpakulimlim Siya ng gabi nito at nagpalabas Siya ng kaliwanagan nito.,
79,30,وَٱلۡأَرۡضَ بَعۡدَ ذَٰلِكَ دَحَىٰهَآ,"Sa lupa, matapos niyon, ay naglagak Siya nito.",
79,31,أَخۡرَجَ مِنۡهَا مَآءَهَا وَمَرۡعَىٰهَا,Nagpalabas Siya mula rito ng tubig nito at pastulan nito.,
79,32,وَٱلۡجِبَالَ أَرۡسَىٰهَا,"Sa mga bundok ay nag-angkla,",
79,33,مَتَٰعٗا لَّكُمۡ وَلِأَنۡعَٰمِكُمۡ,bilang natatamasa para sa inyo at para sa mga hayupan ninyo.,
79,34,فَإِذَا جَآءَتِ ٱلطَّآمَّةُ ٱلۡكُبۡرَىٰ,Ngunit kapag dumating ang Tagapag-umapaw na Pinakamalaki –,
79,35,يَوۡمَ يَتَذَكَّرُ ٱلۡإِنسَٰنُ مَا سَعَىٰ,sa Araw na magsasaalaala ang tao sa pinagpunyagian niya [na mabuti o masama],
79,36,وَبُرِّزَتِ ٱلۡجَحِيمُ لِمَن يَرَىٰ,at itatanghal ang Impiyerno para sa sinumang makakikita –,
79,37,فَأَمَّا مَن طَغَىٰ,hinggil sa sinumang nagmalabis,
79,38,وَءَاثَرَ ٱلۡحَيَوٰةَ ٱلدُّنۡيَا,"at nagtangi sa buhay na pangmundo,",
79,39,فَإِنَّ ٱلۡجَحِيمَ هِيَ ٱلۡمَأۡوَىٰ,tunay na ang Impiyerno ay ang kanlungan;,
79,40,وَأَمَّا مَنۡ خَافَ مَقَامَ رَبِّهِۦ وَنَهَى ٱلنَّفۡسَ عَنِ ٱلۡهَوَىٰ,"hinggil sa sinumang nangamba sa pagtayo sa [harap ng] Panginoon niya at sumaway sa sarili laban sa pithaya,",
79,41,فَإِنَّ ٱلۡجَنَّةَ هِيَ ٱلۡمَأۡوَىٰ,tunay na ang Paraiso ay ang kanlungan.,
79,42,يَسۡـَٔلُونَكَ عَنِ ٱلسَّاعَةِ أَيَّانَ مُرۡسَىٰهَا,Nagtatanong sila sa iyo tungkol sa Huling Sandali kung kailan ang pagdaong niyon?,
79,43,فِيمَ أَنتَ مِن ذِكۡرَىٰهَآ,Nasa ano ka para bumanggit niyon?,
79,44,إِلَىٰ رَبِّكَ مُنتَهَىٰهَآ,Tungo sa Panginoon mo ang pagwawakasan [ng kaalaman] niyon.,
