surah,ayah,arabic_text,translation,footnotes
101,1,ٱلۡقَارِعَةُ,Şiddetle gelip çatan.,
101,2,مَا ٱلۡقَارِعَةُ,Nedir o yürekleri hoplatan büyük felaket?,
101,3,وَمَآ أَدۡرَىٰكَ مَا ٱلۡقَارِعَةُ,Yürekleri hoplatan büyük felaketin ne olduğunu sen ne bileceksin?,
101,4,يَوۡمَ يَكُونُ ٱلنَّاسُ كَٱلۡفَرَاشِ ٱلۡمَبۡثُوثِ,"O gün insanlar, her biri bir tarafa uçuşan pervaneler gibi olacaktır.",
101,5,وَتَكُونُ ٱلۡجِبَالُ كَٱلۡعِهۡنِ ٱلۡمَنفُوشِ,Dağlar da atılmış renkli yünler gibi olacaktır.,
101,6,فَأَمَّا مَن ثَقُلَتۡ مَوَٰزِينُهُۥ,"İşte o vakit, kimin tartıları ağır gelmişse.",
101,7,فَهُوَ فِي عِيشَةٖ رَّاضِيَةٖ,"Artık o, hoşnut olacağı bir hayatın içinde olacaktır.",
101,8,وَأَمَّا مَنۡ خَفَّتۡ مَوَٰزِينُهُۥ,Ama kimin de tartıları hafif gelirse.,
101,9,فَأُمُّهُۥ هَاوِيَةٞ,İşte onun varacağı yer Hâviye’dir.,
101,10,وَمَآ أَدۡرَىٰكَ مَا هِيَهۡ,Sen Hâviye’nin ne olduğunu ne bileceksin?,
101,11,نَارٌ حَامِيَةُۢ,"O, kızgın bir ateştir.",
