surah,ayah,arabic_text,translation,footnotes
1,1,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,Rahman ve Rahim Allah’ın adıyla...,
1,2,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,"Hamd, alemlerin Rab'bi Allah'a mahsustur.",
1,3,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"O Rahman'dır, O Rahim'dir. ",
1,4,مَٰلِكِ يَوۡمِ ٱلدِّينِ,Hesap gününün hakimi Allah’a mahsustur.,
1,5,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,Yalnız sana ibadet ederiz ve yalnız senden yardım dileriz.,
1,6,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,Bizi doğru yola ilet. ,
1,7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,Nimet verdiğin kimselerin yoluna. Gazaba uğrayanların ve sapanların değil.,
2,1,الٓمٓ,"Elif, lâm, Mîm. ",
2,2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,"Hiç kuşkusuz bu kitap, takva sahipleri için yol göstericidir.",
2,3,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"Gayba inanan, namazı kılan ve kendilerine verdiğimiz rızıktan infak edenler için yol göstericidir.",
2,4,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,"Onlar, sana indirilene, senden önce indirilenlere ve ahirete de kesin olarak inanırlar.",
2,5,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,İşte onlar Rableri katından bir hidayet üzeredir ve kurtuluşa erecek olanlar onlardır.,
2,6,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,"Kâfirlere gelince, onları uyarsan da uyarmasan da birdir, inanmazlar.",
2,7,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,"Allah, onların kalplerini ve kulaklarını mühürlemiştir. Gözlerinde de perde vardır ve onlar için büyük bir azap vardır.",
2,8,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,"İnsanlardan bir kısmı da iman etmediği halde; ""Allah’a ve ahiret gününe iman ettik"" derler.",
2,9,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,"Allah’ı ve inananları aldatmaya uğraşırlar, ama kendilerinden başkasını aldatamazlar da farkında olmazlar.",
2,10,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,"Onların kalplerinde hastalık vardır. Allah da onların hastalığını artırmıştır. Onlara, yalan söylemelerinden dolayı acı veren bir azap vardır.",
2,11,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,"Onlara: ""Yeryüzünde bozgunculuk yapmayın""! dendiği zaman; ""Bizler sadece ıslah edicileriz"" derler.",
2,12,أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ,"İyi bilin ki asıl bozguncular kendileridir, fakat farkında değillerdir.",
2,13,وَإِذَا قِيلَ لَهُمۡ ءَامِنُواْ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓاْ أَنُؤۡمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُۗ أَلَآ إِنَّهُمۡ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعۡلَمُونَ,"Onlara: ""Siz de insanların inandığı gibi inanın!"" denilince; ""Beyinsizlerin inandığı gibi mi inanalım?"" derler. Dikkat edin! Asıl beyinsizler kendileridir, fakat bilmezler.",
2,14,وَإِذَا لَقُواْ ٱلَّذِينَ ءَامَنُواْ قَالُوٓاْ ءَامَنَّا وَإِذَا خَلَوۡاْ إِلَىٰ شَيَٰطِينِهِمۡ قَالُوٓاْ إِنَّا مَعَكُمۡ إِنَّمَا نَحۡنُ مُسۡتَهۡزِءُونَ,"İnananlara rastladıkları zaman; ""İnandık"", derler. Şeytanları ile başbaşa kalınca da: ""Biz, sizin yanınızdayız. Onlarla sadece alay ediyoruz"", derler.",
2,15,ٱللَّهُ يَسۡتَهۡزِئُ بِهِمۡ وَيَمُدُّهُمۡ فِي طُغۡيَٰنِهِمۡ يَعۡمَهُونَ, Allah da onlarla alay eder ve onları taşkınlıkları içinde şaşkın bir halde bırakır.,
2,16,أُوْلَٰٓئِكَ ٱلَّذِينَ ٱشۡتَرَوُاْ ٱلضَّلَٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمۡ وَمَا كَانُواْ مُهۡتَدِينَ," Onlar, hidayet yerine sapıklığı satın aldılar da alışverişleri kâr getirmedi ve doğru yolu bulanlar olmadılar.",
2,17,مَثَلُهُمۡ كَمَثَلِ ٱلَّذِي ٱسۡتَوۡقَدَ نَارٗا فَلَمَّآ أَضَآءَتۡ مَا حَوۡلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمۡ وَتَرَكَهُمۡ فِي ظُلُمَٰتٖ لَّا يُبۡصِرُونَ,"Onların hali, ateş yakan kimsenin haline benzer. Ateş etrafını aydınlattığı sırada Allah onun ışığını giderir ve onları karanlıklar içerisinde görmez bir halde bırakır.",
2,18,صُمُّۢ بُكۡمٌ عُمۡيٞ فَهُمۡ لَا يَرۡجِعُونَ,"Onlar sağır, dilsiz ve körlerdir. Onlar geri dönmezler.",
2,19,أَوۡ كَصَيِّبٖ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٞ وَرَعۡدٞ وَبَرۡقٞ يَجۡعَلُونَ أَصَٰبِعَهُمۡ فِيٓ ءَاذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلۡمَوۡتِۚ وَٱللَّهُ مُحِيطُۢ بِٱلۡكَٰفِرِينَ," Yahut, onlar gökten boşanan bir yağmura tutulmuş kimselere benzerler. O yağmurda karanlıklar, gök gürültüsü ve şimşek vardır. Onlar da yıldırımlardan ve ölüm korkusundan parmaklarıyla kulaklarını tıkarlar. Şüphesiz Allah kâfirleri çepeçevre kuşatmıştır.",
2,20,يَكَادُ ٱلۡبَرۡقُ يَخۡطَفُ أَبۡصَٰرَهُمۡۖ كُلَّمَآ أَضَآءَ لَهُم مَّشَوۡاْ فِيهِ وَإِذَآ أَظۡلَمَ عَلَيۡهِمۡ قَامُواْۚ وَلَوۡ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمۡعِهِمۡ وَأَبۡصَٰرِهِمۡۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ,"Şimşek onların gözlerini aniden alacakmış gibi olur; şimşek parıldadığında yürürler, ortalık birden kararınca da orada dikilip kalıverirler, eğer Allah isteseydi onları sağır ve kör ederdi. Allah’ın her şeye gücü yeter.",
2,21,يَٰٓأَيُّهَا ٱلنَّاسُ ٱعۡبُدُواْ رَبَّكُمُ ٱلَّذِي خَلَقَكُمۡ وَٱلَّذِينَ مِن قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُونَ,"Ey insanlar! Sizi ve sizden öncekileri yaratan Rabbinize ibadet ediniz ki, böylece takva sahibi olur, sakınırsınız.",
2,22,ٱلَّذِي جَعَلَ لَكُمُ ٱلۡأَرۡضَ فِرَٰشٗا وَٱلسَّمَآءَ بِنَآءٗ وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءٗ فَأَخۡرَجَ بِهِۦ مِنَ ٱلثَّمَرَٰتِ رِزۡقٗا لَّكُمۡۖ فَلَا تَجۡعَلُواْ لِلَّهِ أَندَادٗا وَأَنتُمۡ تَعۡلَمُونَ,"O, sizin için yeryüzünü döşedi ve gökyüzünü bina etti. Gökten su indirip onunla size rızık olsun diye ürünler yetiştirdi. Öyleyse, bunları bile bile Allah’a eş koşmayın.",
2,23,وَإِن كُنتُمۡ فِي رَيۡبٖ مِّمَّا نَزَّلۡنَا عَلَىٰ عَبۡدِنَا فَأۡتُواْ بِسُورَةٖ مِّن مِّثۡلِهِۦ وَٱدۡعُواْ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمۡ صَٰدِقِينَ,"Kulumuza indirdiğimiz (Kur’an) dan bir şüpheniz varsa; haydi, siz de ona benzer bir sûre getirin. Eğer doğru sözlüler iseniz, Allah’tan başka güvendiklerinizi de yardıma çağırın.",
2,24,فَإِن لَّمۡ تَفۡعَلُواْ وَلَن تَفۡعَلُواْ فَٱتَّقُواْ ٱلنَّارَ ٱلَّتِي وَقُودُهَا ٱلنَّاسُ وَٱلۡحِجَارَةُۖ أُعِدَّتۡ لِلۡكَٰفِرِينَ,"Eğer bu işi yapamazsanız ki, elbette yapamayacaksınız. O zaman, kâfirler için hazırlanan (ve) yakıtı insanlar ve taşlar olan ateşten kendinizi koruyun.",
2,25,وَبَشِّرِ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمۡ جَنَّٰتٖ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۖ كُلَّمَا رُزِقُواْ مِنۡهَا مِن ثَمَرَةٖ رِّزۡقٗا قَالُواْ هَٰذَا ٱلَّذِي رُزِقۡنَا مِن قَبۡلُۖ وَأُتُواْ بِهِۦ مُتَشَٰبِهٗاۖ وَلَهُمۡ فِيهَآ أَزۡوَٰجٞ مُّطَهَّرَةٞۖ وَهُمۡ فِيهَا خَٰلِدُونَ,"İman edenler ve salih amel işleyen kimselere içinden ırmaklar akan cennetler olduğunu müjdele! Ne zaman oradaki meyvelerden rızıklandırılsalar: ""Bu, daha önce de rızıklandığımız şey"" diyecekler. O meyveler kendilerine (dünyadakilerin) bir benzeri olarak verilecektir ve orada onlar için tertemiz eşler de vardır ve onlar orada ebedi kalacaklardır.",
