surah,ayah,arabic_text,translation,footnotes
35,1,ٱلۡحَمۡدُ لِلَّهِ فَاطِرِ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ جَاعِلِ ٱلۡمَلَٰٓئِكَةِ رُسُلًا أُوْلِيٓ أَجۡنِحَةٖ مَّثۡنَىٰ وَثُلَٰثَ وَرُبَٰعَۚ يَزِيدُ فِي ٱلۡخَلۡقِ مَا يَشَآءُۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ,"Hamd, göklerin ve yerin yaratıcısı ve melekleri ikişer, üçer ve dörder kanatlı elçiler yapan Allah’a mahsustur. O, yaratmada dilediğini arttırır. Çünkü Allah’ın her şeye gücü yeter. ",
35,2,مَّا يَفۡتَحِ ٱللَّهُ لِلنَّاسِ مِن رَّحۡمَةٖ فَلَا مُمۡسِكَ لَهَاۖ وَمَا يُمۡسِكۡ فَلَا مُرۡسِلَ لَهُۥ مِنۢ بَعۡدِهِۦۚ وَهُوَ ٱلۡعَزِيزُ ٱلۡحَكِيمُ," Allah’ın insanlar için rahmetinden açtığı şeyi artık tutan olamaz. Tuttuğu şeyi de, O’ndan sonra gönderen olamaz. Çok güçlü ve Hakim O’dur. ",
35,3,يَٰٓأَيُّهَا ٱلنَّاسُ ٱذۡكُرُواْ نِعۡمَتَ ٱللَّهِ عَلَيۡكُمۡۚ هَلۡ مِنۡ خَٰلِقٍ غَيۡرُ ٱللَّهِ يَرۡزُقُكُم مِّنَ ٱلسَّمَآءِ وَٱلۡأَرۡضِۚ لَآ إِلَٰهَ إِلَّا هُوَۖ فَأَنَّىٰ تُؤۡفَكُونَ,"Ey insanlar! Allah’ın size verdiği nimetini anın. Allah’tan başka, size göklerden ve yerden rızık verecek bir yaratıcı var mı? O’ndan başka (hak) ilah yoktur. Nasıl oluyor da (tevhidden, şirke) çevriliyorsunuz?",
35,4,وَإِن يُكَذِّبُوكَ فَقَدۡ كُذِّبَتۡ رُسُلٞ مِّن قَبۡلِكَۚ وَإِلَى ٱللَّهِ تُرۡجَعُ ٱلۡأُمُورُ,"Eğer seni yalanlıyorlarsa, senden önceki rasûller de yalanlanmıştı. Bütün işlerin dönüşü Allah’adır. ",
35,5,يَٰٓأَيُّهَا ٱلنَّاسُ إِنَّ وَعۡدَ ٱللَّهِ حَقّٞۖ فَلَا تَغُرَّنَّكُمُ ٱلۡحَيَوٰةُ ٱلدُّنۡيَا وَلَا يَغُرَّنَّكُم بِٱللَّهِ ٱلۡغَرُورُ,Ey insanlar! Allah’ın vaadi şüphesiz gerçektir. Dünya hayatı sizi aldatmasın. Aldatıcı da sizi Allah ile aldatmasın. ,
35,6,إِنَّ ٱلشَّيۡطَٰنَ لَكُمۡ عَدُوّٞ فَٱتَّخِذُوهُ عَدُوًّاۚ إِنَّمَا يَدۡعُواْ حِزۡبَهُۥ لِيَكُونُواْ مِنۡ أَصۡحَٰبِ ٱلسَّعِيرِ,"Şeytan size düşmandır. Siz de onu düşman edinin. O, ancak kendi hizbini alevli ateşin ashabı olmaya çağırır. ",
35,7,ٱلَّذِينَ كَفَرُواْ لَهُمۡ عَذَابٞ شَدِيدٞۖ وَٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُم مَّغۡفِرَةٞ وَأَجۡرٞ كَبِيرٌ,Kâfirler için şiddetli bir azap vardır. İman edenler ve salih ameller de bulunanlar için mağfiret ve büyük bir mükâfat vardır. ,
35,8,أَفَمَن زُيِّنَ لَهُۥ سُوٓءُ عَمَلِهِۦ فَرَءَاهُ حَسَنٗاۖ فَإِنَّ ٱللَّهَ يُضِلُّ مَن يَشَآءُ وَيَهۡدِي مَن يَشَآءُۖ فَلَا تَذۡهَبۡ نَفۡسُكَ عَلَيۡهِمۡ حَسَرَٰتٍۚ إِنَّ ٱللَّهَ عَلِيمُۢ بِمَا يَصۡنَعُونَ,"Kötü işler kendisine süslenip, onu güzel gören kimse (Allah'ın hidayet ettiği kimse) gibi midir? Allah, dilediğini saptırır, dilediğine de hidayet verir. O halde o insanlardan ötürü üzülüp kendini mahvetme! Allah, onların ne yaptıklarını biliyor. ",
35,9,وَٱللَّهُ ٱلَّذِيٓ أَرۡسَلَ ٱلرِّيَٰحَ فَتُثِيرُ سَحَابٗا فَسُقۡنَٰهُ إِلَىٰ بَلَدٖ مَّيِّتٖ فَأَحۡيَيۡنَا بِهِ ٱلۡأَرۡضَ بَعۡدَ مَوۡتِهَاۚ كَذَٰلِكَ ٱلنُّشُورُ,"Allah rüzgarı gönderir, o (rüzgar) da bulutu harekete geçirir, Onu ölü bir beldeye sevk ederiz. Onunla yeryüzüne, ölümden sonra hayat verir. İşte ölülerin diriltilmesi de böyledir. ",
35,10,مَن كَانَ يُرِيدُ ٱلۡعِزَّةَ فَلِلَّهِ ٱلۡعِزَّةُ جَمِيعًاۚ إِلَيۡهِ يَصۡعَدُ ٱلۡكَلِمُ ٱلطَّيِّبُ وَٱلۡعَمَلُ ٱلصَّٰلِحُ يَرۡفَعُهُۥۚ وَٱلَّذِينَ يَمۡكُرُونَ ٱلسَّيِّـَٔاتِ لَهُمۡ عَذَابٞ شَدِيدٞۖ وَمَكۡرُ أُوْلَٰٓئِكَ هُوَ يَبُورُ,"Kim, izzet istiyorsa, bilsin ki izzet tümüyle Allah’ındır. Güzel söz O’na yükselir, salih ameli de (Allah kendine) yükseltir. Kötülükleri tuzak olarak kuranlar için şiddetli bir azap vardır. İşte bunların kurdukları tuzaklar mahvolur. ",
