surah,ayah,arabic_text,translation,footnotes
56,1,إِذَا وَقَعَتِ ٱلۡوَاقِعَةُ,"Kıyamet koptuğu zaman,",
56,2,لَيۡسَ لِوَقۡعَتِهَا كَاذِبَةٌ,ki onun oluşunu yalanlayacak hiçbir kimse yoktur;,
56,3,خَافِضَةٞ رَّافِعَةٌ,"O, alçaltıcı, yükselticidir.",
56,4,إِذَا رُجَّتِ ٱلۡأَرۡضُ رَجّٗا,"Yer şiddetle sarsıldığı zaman,",
56,5,وَبُسَّتِ ٱلۡجِبَالُ بَسّٗا,"Dağlar parçaladığı zaman,",
56,6,فَكَانَتۡ هَبَآءٗ مُّنۢبَثّٗا,dağılıp toz duman haline geldiği,
56,7,وَكُنتُمۡ أَزۡوَٰجٗا ثَلَٰثَةٗ,"ve sizler de üç sınıf olduğunuz zaman,",
56,8,فَأَصۡحَٰبُ ٱلۡمَيۡمَنَةِ مَآ أَصۡحَٰبُ ٱلۡمَيۡمَنَةِ,"sağdakiler, ne mutlu o sağdakilere!",
56,9,وَأَصۡحَٰبُ ٱلۡمَشۡـَٔمَةِ مَآ أَصۡحَٰبُ ٱلۡمَشۡـَٔمَةِ,"Soldakiler, ne bahtsızdırlar onlar!",
56,10,وَٱلسَّٰبِقُونَ ٱلسَّٰبِقُونَ,"(Hayırda) önde olanlar, (ecirde de) öndedirler.",
56,11,أُوْلَٰٓئِكَ ٱلۡمُقَرَّبُونَ,"İşte bunlar, (Allah'a) en yakın olanlardır.",
56,12,فِي جَنَّٰتِ ٱلنَّعِيمِ,Naîm cennetlerinde.,
56,13,ثُلَّةٞ مِّنَ ٱلۡأَوَّلِينَ,"(Onların) çoğu önceki ümmetlerden,",
56,14,وَقَلِيلٞ مِّنَ ٱلۡأٓخِرِينَ,birazı da sonrakilerdendir.,
56,15,عَلَىٰ سُرُرٖ مَّوۡضُونَةٖ,"Cevherlerle işlenmiş tahtlar üzerindedir,",
56,16,مُّتَّكِـِٔينَ عَلَيۡهَا مُتَقَٰبِلِينَ,karşılıklı olarak oturup yaslanırlar.,
56,17,يَطُوفُ عَلَيۡهِمۡ وِلۡدَٰنٞ مُّخَلَّدُونَ,"Çevrelerinde, (hizmet için) ölümsüz gençler dolaşır;",
56,18,بِأَكۡوَابٖ وَأَبَارِيقَ وَكَأۡسٖ مِّن مَّعِينٖ,"Maîn çeşmesinden doldurulmuş testiler, ibrikler ve kadehlerle.",
56,19,لَّا يُصَدَّعُونَ عَنۡهَا وَلَا يُنزِفُونَ,"Bu şaraptan ne başları ağrıtılır, ne de akılları giderilir.",
56,20,وَفَٰكِهَةٖ مِّمَّا يَتَخَيَّرُونَ,"(Onlara) beğendikleri meyveler,",
56,21,وَلَحۡمِ طَيۡرٖ مِّمَّا يَشۡتَهُونَ,"Canlarının çektiği kuş etleri,",
56,22,وَحُورٌ عِينٞ,"iri gözlü huriler,",
56,23,كَأَمۡثَٰلِ ٱللُّؤۡلُوِٕ ٱلۡمَكۡنُونِ,saklı  inciler gibi,
56,24,جَزَآءَۢ بِمَا كَانُواْ يَعۡمَلُونَ,yaptıklarına karşılık olarak (verilir).,
56,25,لَا يَسۡمَعُونَ فِيهَا لَغۡوٗا وَلَا تَأۡثِيمًا,Orada boş bir söz ve günaha sokan bir laf işitmezler.,
56,26,إِلَّا قِيلٗا سَلَٰمٗا سَلَٰمٗا,"Söylenen, yalnızca «selâm, selâm »dır.",
56,27,وَأَصۡحَٰبُ ٱلۡيَمِينِ مَآ أَصۡحَٰبُ ٱلۡيَمِينِ,"Sağdakiler, ne mutlu o sağdakilere (amel defteri sağdan verilenlere)!",
56,28,فِي سِدۡرٖ مَّخۡضُودٖ,"Düzgün kiraz ağacı,",
56,29,وَطَلۡحٖ مَّنضُودٖ,"meyveleri salkım salkım dizili muz ağaçları,",
56,30,وَظِلّٖ مَّمۡدُودٖ,"uzamış gölgeler,",
56,31,وَمَآءٖ مَّسۡكُوبٖ,"çağlayarak akan sular,",
56,32,وَفَٰكِهَةٖ كَثِيرَةٖ,sayısız meyveler içindedirler;,
56,33,لَّا مَقۡطُوعَةٖ وَلَا مَمۡنُوعَةٖ,"Tükenmeyen ve yasaklanmayan, ",
56,34,وَفُرُشٖ مَّرۡفُوعَةٍ,ve kabartılmış döşekler üstündedirler.,
56,35,إِنَّآ أَنشَأۡنَٰهُنَّ إِنشَآءٗ,Gerçekten biz hurileri apayrı biçimde yeni yarattık.,
56,36,فَجَعَلۡنَٰهُنَّ أَبۡكَارًا,"Onları, eşlerine bâkireler kıldık.",
56,37,عُرُبًا أَتۡرَابٗا, Düşkün ve yaşıt.,
56,38,لِّأَصۡحَٰبِ ٱلۡيَمِينِ,Bütün bunlar sağdakiler içindir.,
56,39,ثُلَّةٞ مِّنَ ٱلۡأَوَّلِينَ,Bunların birçoğu önceki ümmetlerdendir.,
56,40,وَثُلَّةٞ مِّنَ ٱلۡأٓخِرِينَ,Birçoğu da sonrakilerdendir.,
56,41,وَأَصۡحَٰبُ ٱلشِّمَالِ مَآ أَصۡحَٰبُ ٱلشِّمَالِ,Soldakiler; ne yazık o soldakilere (amel defteri soldan verilenlere)!,
56,42,فِي سَمُومٖ وَحَمِيمٖ,"İçlerine işleyen bir ateş ve kaynar su içinde,",
56,43,وَظِلّٖ مِّن يَحۡمُومٖ,"kapkara dumandan bir gölge altındadırlar,",
56,44,لَّا بَارِدٖ وَلَا كَرِيمٍ,serin ve hoş olmayan.,
56,45,إِنَّهُمۡ كَانُواْ قَبۡلَ ذَٰلِكَ مُتۡرَفِينَ,Çünkü onlar bundan önce varlık içinde sefahete dalmışlardı.,
56,46,وَكَانُواْ يُصِرُّونَ عَلَى ٱلۡحِنثِ ٱلۡعَظِيمِ,Büyük günahı işlemekte direnir dururlardı.,
56,47,وَكَانُواْ يَقُولُونَ أَئِذَا مِتۡنَا وَكُنَّا تُرَابٗا وَعِظَٰمًا أَءِنَّا لَمَبۡعُوثُونَ,"Ve diyorlardı ki: Biz öldükten, toprak ve kemik yığını haline geldikten sonra, biz mi bir daha diriltileceğiz?",
56,48,أَوَءَابَآؤُنَا ٱلۡأَوَّلُونَ,Önceki atalarımız da mı?,
56,49,قُلۡ إِنَّ ٱلۡأَوَّلِينَ وَٱلۡأٓخِرِينَ,"De ki: Hem öncekiler hem de sonrakiler,",
56,50,لَمَجۡمُوعُونَ إِلَىٰ مِيقَٰتِ يَوۡمٖ مَّعۡلُومٖ,belli bir günün belli vaktinde mutlaka toplanacaklardır! ,
56,51,ثُمَّ إِنَّكُمۡ أَيُّهَا ٱلضَّآلُّونَ ٱلۡمُكَذِّبُونَ,"Sonra siz ey sapıklar, yalancılar!",
56,52,لَأٓكِلُونَ مِن شَجَرٖ مِّن زَقُّومٖ,"Elbette bir ağaçtan, zakkum ağacından yiyeceksiniz.",
56,53,فَمَالِـُٔونَ مِنۡهَا ٱلۡبُطُونَ,Karınlarınızı ondan dolduracaksınız.,
56,54,فَشَٰرِبُونَ عَلَيۡهِ مِنَ ٱلۡحَمِيمِ,Üstüne de kaynar sudan içeceksiniz.,
56,55,فَشَٰرِبُونَ شُرۡبَ ٱلۡهِيمِ,Susamış develerin suya saldırışı gibi içeceksiniz.,
56,56,هَٰذَا نُزُلُهُمۡ يَوۡمَ ٱلدِّينِ,İşte ceza gününde onlara sunulacak ziyafet budur!,
56,57,نَحۡنُ خَلَقۡنَٰكُمۡ فَلَوۡلَا تُصَدِّقُونَ,Sizi biz yarattık. Tasdik etmeniz gerekmez mi?,
