surah,ayah,arabic_text,translation,footnotes
1,1,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,ناھايىتى شەپقەتلىك ۋە مېھرىبان ئاللاھنىڭ ئىسمى بىلەن باشلايمەن[1].,
1,2,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,جىمى ھەمدۇ سانا ئالەملەرنىڭ پەرۋەردىگارى ئاللاھقا خاستۇر[2].,
1,3,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,ئاللاھ ناھايىتى شەپقەتلىك ۋە مېھرىباندۇر[3].,
1,4,مَٰلِكِ يَوۡمِ ٱلدِّينِ,قىيامەت كۈنىنىڭ ئىگىسىدۇر[4].,
1,5,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,(رەببىمىز) ساڭىلا ئىبادەت قىلىمىز ۋە سەندىنلا ياردەم تىلەيمىز[5].,
1,6,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,بىزنى توغرا يولغا باشلىغىن[6].,
1,7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,غەزىپىڭگە يولۇققانلارنىڭ ۋە ئازغانلارنىڭ يولىغا ئەمەس، سەن ئىنئام قىلغانلارنىڭ يولىغا (باشلىغىن)[7].,
2,1,الٓمٓ,ئەلىف، لام، مىم[1].,
2,2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,بۇ كىتابتا (يەنى قۇرئاندا) ھېچ شەك يوق، (ئۇ) تەقۋادارلارغا يېتەكچىدۇر[2].,
2,3,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,ئۇلار غەيبكە ئىشىنىدۇ، نامازنى ئادا قىلىدۇ، ئۇلار بىز بەرگەن مال ـ مۈلۈكتىن (ئاللاھ يولىغا) سەرپ قىلىدۇ[3].,
2,4,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,ئۇلار ساڭا نازىل قىلىنغان كىتابقا، سەندىن ئىلگىرىكى (پەيغەمبەرلەرگە) نازىل قىلىنغان كىتابلارغا ئىشىنىدۇ ۋە ئاخىرەتكە شەكسىز ئىشىنىدۇ[4].,
2,5,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,ئەنە شۇلار پەرۋەردىگارىنىڭ توغرا يولىدا بولغۇچىلاردۇر، ئەنە شۇلار بەختكە ئېرىشكۈچىلەردۇر[5].,
2,6,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,شۈبھىسىزكى، كاپىرلارنى ئاگاھلاندۇرامسەن، ئاگاھلاندۇرمامسەن، بەرىبىر، ئۇلار ئىمان ئېيتمايدۇ[6].,
