surah,ayah,arabic_text,translation,footnotes
92,1,وَٱلَّيۡلِ إِذَا يَغۡشَىٰ,قاراڭغۇلۇقى ئالەمنى قاپلىغان كېچە بىلەن قەسەمكى[1]،,
92,2,وَٱلنَّهَارِ إِذَا تَجَلَّىٰ,يورۇغان چاغدىكى كۈندۈز بىلەن قەسەمكى[2]،,
92,3,وَمَا خَلَقَ ٱلذَّكَرَ وَٱلۡأُنثَىٰٓ,ئەر ـ ئايالنى ياراتقان زات ئاللاھ بىلەن قەسەمكى[3]،,
92,4,إِنَّ سَعۡيَكُمۡ لَشَتَّىٰ, سىلەرنىڭ ئەمەلىڭلار شەك ـ شۈبھىسىز خىلمۇخىلدۇر[4].,
92,5,فَأَمَّا مَنۡ أَعۡطَىٰ وَٱتَّقَىٰ, (پۇل ـ مېلىنى ئاللاھنىڭ رازىلىقى ئۈچۈن) سەرپ قىلغان، تەقۋادارلىق قىلغان، (كەلىمە تەۋھىدنى) تەستىق قىلغان ئادەمگە كەلسەك[5ـ6]، ,
92,6,وَصَدَّقَ بِٱلۡحُسۡنَىٰ, (پۇل ـ مېلىنى ئاللاھنىڭ رازىلىقى ئۈچۈن) سەرپ قىلغان، تەقۋادارلىق قىلغان، (كەلىمە تەۋھىدنى) تەستىق قىلغان ئادەمگە كەلسەك[5ـ6]، ,
92,7,فَسَنُيَسِّرُهُۥ لِلۡيُسۡرَىٰ,ئۇنىڭغا بىز ياخشى يولنى مۇيەسسەر قىلىپ بېرىمىز[7].,
92,8,وَأَمَّا مَنۢ بَخِلَ وَٱسۡتَغۡنَىٰ,بېخىللىق قىلىپ (ئاللاھنىڭ ساۋابىدىن) ئۆزىنى بىھاجەت ھېسابلىغان، كەلىمە تەۋھىدنى ئىنكار قىلغان ئادەمگە كەلسەك[8ـ9]،,
92,9,وَكَذَّبَ بِٱلۡحُسۡنَىٰ,بېخىللىق قىلىپ (ئاللاھنىڭ ساۋابىدىن) ئۆزىنى بىھاجەت ھېسابلىغان، كەلىمە تەۋھىدنى ئىنكار قىلغان ئادەمگە كەلسەك[8ـ9]،,
92,10,فَسَنُيَسِّرُهُۥ لِلۡعُسۡرَىٰ, بىز ئۇنىڭغا يامان يولنى مۇيەسسەر قىلىپ بېرىمىز[10].,
92,11,وَمَا يُغۡنِي عَنۡهُ مَالُهُۥٓ إِذَا تَرَدَّىٰٓ, ئۇ (دوزاخقا) تاشلانغان چاغدا، ئۇنىڭ مېلى ھېچ نەرسىگە ئەسقاتمايدۇ[11].,
92,12,إِنَّ عَلَيۡنَا لَلۡهُدَىٰ, توغرا يولنى كۆرسىتىشكە شەك ـ شۈبھىسىز بىز مەسئۇلمىز[12].,
92,13,وَإِنَّ لَنَا لَلۡأٓخِرَةَ وَٱلۡأُولَىٰ, دۇنيا ۋە ئاخىرەت شەك ـ شۈبھىسىز بىزنىڭ ئىلكىمىزدىدۇر[13].,
92,14,فَأَنذَرۡتُكُمۡ نَارٗا تَلَظَّىٰ,سىلەرنى لاۋۇلداپ تۇرغان ئوتتىن ئاگاھلاندۇردۇم[14].,
92,15,لَا يَصۡلَىٰهَآ إِلَّا ٱلۡأَشۡقَى,ئۇنىڭغا پەقەت (ھەقنى) ئىنكار قىلغان، (ئىماندىن) يۈز ئۆرۈگەن ئادەملا كىرىدۇ[15ـ16].,
92,16,ٱلَّذِي كَذَّبَ وَتَوَلَّىٰ,ئۇنىڭغا پەقەت (ھەقنى) ئىنكار قىلغان، (ئىماندىن) يۈز ئۆرۈگەن ئادەملا كىرىدۇ[15ـ16].,
92,17,وَسَيُجَنَّبُهَا ٱلۡأَتۡقَى, پاكلىنىش ئۈچۈن مال ـ مۈلكىنى (ياخشىلىق يوللىرىغا) سەرپ قىلىدىغان ئادەم ئۇنىڭدىن (يەنى ئوتتىن) يىراق قىلىنىدۇ[17ـ18].,
92,18,ٱلَّذِي يُؤۡتِي مَالَهُۥ يَتَزَكَّىٰ, پاكلىنىش ئۈچۈن مال ـ مۈلكىنى (ياخشىلىق يوللىرىغا) سەرپ قىلىدىغان ئادەم ئۇنىڭدىن (يەنى ئوتتىن) يىراق قىلىنىدۇ[17ـ18].,
92,19,وَمَا لِأَحَدٍ عِندَهُۥ مِن نِّعۡمَةٖ تُجۡزَىٰٓ, ئۇنىڭ قىلغان ياخشىلىقى بىراۋنىڭ ياخشىلىقىنى ياندۇرۇش ئۈچۈن ئەمەس، پەقەت ئۇلۇغ پەرۋەردىگارىنىڭ رازىلىقى ئۈچۈندۇر[19ـ20].,
92,20,إِلَّا ٱبۡتِغَآءَ وَجۡهِ رَبِّهِ ٱلۡأَعۡلَىٰ, ئۇنىڭ قىلغان ياخشىلىقى بىراۋنىڭ ياخشىلىقىنى ياندۇرۇش ئۈچۈن ئەمەس، پەقەت ئۇلۇغ پەرۋەردىگارىنىڭ رازىلىقى ئۈچۈندۇر[19ـ20].,
92,21,وَلَسَوۡفَ يَرۡضَىٰ,ئۇ (يەنى ئېھسان قىلغۇچى ئادەم) (پەرۋەردىگارىنىڭ بەرگەن مۇكاپاتىدىن) چوقۇم رازى بولىدۇ[21].,
