surah,ayah,arabic_text,translation,footnotes
96,1,ٱقۡرَأۡ بِٱسۡمِ رَبِّكَ ٱلَّذِي خَلَقَ,پڑھ اپنے رب کے نام سے جس نے پیدا کیا.(1),(1) یہ سب سے پہلی وحی ہے جو نبی (صلى الله عليه وسلم) پر اس وقت آئی جب آپ (صلى الله عليه وسلم) غار حرا میں مصروف عبادت تھے۔ فرشتے نے آکر کہا، پڑھ، آپ (صلى الله عليه وسلم) نے فرمایا، میں تو پڑھا ہوا ہی نہیں ہوں، فرشتے نے آپ (صلى الله عليه وسلم) کو پکڑ کر زور سے بھینچا، اور کہا پڑھ، آپ (صلى الله عليه وسلم) نے پھر وہی جواب دیا۔ اس طرح تین مرتبہ اس نے آپ (صلى الله عليه وسلم) کو بھینچا۔ ( تفصیل کے لئے دیکھئے صحیح بخاری، بدء الوحی، مسلم، الایمان، باب بدء الوحی ) اقْرَأْ جو تیری طرف وحی کی جاتی ہے وہ پڑھ۔ خَلَقَ، جس نے تمام مخلوق کو پیدا کیا۔
96,2,خَلَقَ ٱلۡإِنسَٰنَ مِنۡ عَلَقٍ,جس نے انسان کو خون کے لوتھڑے سے پیدا کیا.(1),(1) مخلوقات میں سے بطور خاص انسان کی پیدائش کا ذکر فرمایا جس سے اس کا شرف واضح ہے۔
96,3,ٱقۡرَأۡ وَرَبُّكَ ٱلۡأَكۡرَمُ,تو پڑھتا ره تیرا رب بڑے کرم واﻻ ہے.(1),(1) یہ بطور تاکید فرمایا اور اس میں بڑے بلیغ انداز سے اس اعتذار کا بھی ازالہ فرما دیا، جو آپ (صلى الله عليه وسلم) نے پیش کیا کہ میں تو قاری ہی نہیں۔ اللہ نے فرمایا، اللہ بہت کرم والا ہے پڑھ، یعنی انسانوں کی کوتاہیوں سے درگزر کرنا اس کا وصف خاص ہے۔
96,4,ٱلَّذِي عَلَّمَ بِٱلۡقَلَمِ,جس نے قلم کے ذریعے (علم) سکھایا.(1),(1) قَلَمٌ کے معنی ہیں قطع کرنا، تراشنا، قلم بھی پہلے زمانے میں تراش کر ہی بنائے جاتے تھے، اس لئے آلۂ کتابت کو قلم سے تعبیر کیا۔ کچھ علم تو انسان کے ذہن میں ہوتا ہے، کچھ کا اظہار زبان کے ذریعے سے ہوتا ہے اور کچھ انسان قلم سے کاغذ پر لکھ لیتا ہے۔ ذہن وحافظہ میں جو ہوتا ہے، وہ انسان کے ساتھ ہی چلا جاتا ہے۔ زبان سے جس کا اظہار کرتا ہے، وہ بھی محفوظ نہیں رہتا۔ البتہ قلم سے لکھا ہوا، اگر وہ کسی وجہ سے ضائع نہ ہو تو ہمیشہ محفوظ رہتا ہے، اسی قلم کی بدولت تمام علوم، پچھلے لوگوں کی تاریخیں اور اسلاف کا علمی ذخیرہ محفوظ ہے۔ حتیٰ کہ آسمانی کتابوں کی حفاظت کا بھی ذریعہ ہے۔ اس سے قلم کی اہمیت محتاج وضاحت نہیں رہتی۔ اسی لئے اللہ نے سب سے پہلے قلم کو پیدا کیا اور اس کو تمام مخلوقات کی تقدیر لکھنے کا حکم دیا۔
96,5,عَلَّمَ ٱلۡإِنسَٰنَ مَا لَمۡ يَعۡلَمۡ,جس نے انسان کو وه سکھایا جسے وه نہیں جانتا تھا.,
96,6,كَلَّآ إِنَّ ٱلۡإِنسَٰنَ لَيَطۡغَىٰٓ,سچ مچ انسان تو آپے سے باہر ہو جاتا ہے.,
96,7,أَن رَّءَاهُ ٱسۡتَغۡنَىٰٓ,اس لئے کہ وه اپنے آپ کو بے پروا (یا تونگر) سمجھتا ہے.,
96,8,إِنَّ إِلَىٰ رَبِّكَ ٱلرُّجۡعَىٰٓ,یقیناً لوٹنا تیرے رب کی طرف ہے.,
96,9,أَرَءَيۡتَ ٱلَّذِي يَنۡهَىٰ,(بھلا) اسے بھی تو نے دیکھا جو بندے کو روکتا ہے.,
96,10,عَبۡدًا إِذَا صَلَّىٰٓ,جبکہ وه بنده نماز ادا کرتا ہے.(1),(1) مفسرین کہتے ہیں کہ روکنے والے سے مراد ابوجہل ہے جو اسلام کا شدید دشمن تھا۔ عبدًا سے مراد نبی (صلى الله عليه وسلم) ہیں۔
96,11,أَرَءَيۡتَ إِن كَانَ عَلَى ٱلۡهُدَىٰٓ,بھلا بتلا تو اگر وه ہدایت پر ہو.(1),(1) یعنی جس کو یہ نماز پڑھنے سے روک رہا ہے، وہ ہدایت پرہو۔
96,12,أَوۡ أَمَرَ بِٱلتَّقۡوَىٰٓ,یا پرہیز گاری کا حکم دیتا ہو.(1),(1) یعنی اخلاص، توحید اور عمل صالح کی تعلیم، جس سے جہنم کی آگ سے انسان بچ سکتا ہے۔ تو کیا یہ چیزیں ( نماز پڑھنا اور تقویٰ کی تعلیم دینا ) ایسی ہیں کہ ان کی مخالفت کی جائے اور اس پر اس کو دھمکیاں دیں جائیں؟
96,13,أَرَءَيۡتَ إِن كَذَّبَ وَتَوَلَّىٰٓ,بھلا دیکھو تو اگر یہ جھٹلاتا ہو اور منھ پھیرتا ہو تو.(1),(1) یعنی یہ ابوجہل اللہ کے پیغمبر کو جھٹلاتا ہو اور ایمان سے اعراض کرتا ہو أَرَأَيْتَ بمعنی أَخْبِرْنِي ( مجھے بتلاؤ ) ہے۔
96,14,أَلَمۡ يَعۡلَم بِأَنَّ ٱللَّهَ يَرَىٰ,کیا اس نے نہیں جانا کہ اللہ تعالیٰ اسے خوب دیکھ رہا ہے.(1),(1) مطلب یہ ہے کہ یہ شخص جو مذکورہ حرکتیں کر رہا ہے کیا نہیں جانتا کہ اللہ تعالیٰ سب کچھ دیکھ رہا ہے، وہ اس کی اس کو جزا دے گا۔ یعنی یہ «أَلَمْ تَعْلَمْ» مذکورہ شرطوں «إِنْ كَانَ عَلَى الْهُدَى، أَوْ أَمَرَ بِالتَّقْوَى إِنْ كَذَّبَ وَتَوَلَّى» کی جزا ہے۔
96,15,كَلَّا لَئِن لَّمۡ يَنتَهِ لَنَسۡفَعَۢا بِٱلنَّاصِيَةِ,یقیناً اگر یہ باز نہ رہا تو ہم اس کی پیشانی کے بال پکڑ کر گھسیٹیں گے.(1),(1) یعنی نبی (صلى الله عليه وسلم) کی مخالفت اور دشمنی سے اور آپ (صلى الله عليه وسلم) کو نماز پڑھنے سے جو روکتا ہے، اس سے باز نہ آیا لَنَسْفَعَنَّ کے معنی ہیں لَنَأْخُذَنَّ تو ہم اسے اس کی پیشانی سے پکڑ کر گھسیٹیں گے۔ حدیث میں آتا ہے ابوجہل نے کہا تھا کہ اگر محمد (صلى الله عليه وسلم) کعبے کے پاس نماز پڑھنے سے باز نہ آیا تو میں اس کی گردن پر پاؤں رکھ دوں گا۔ (یعنی اسے روندوں گا اور یوں ذلیل کروں گا) نبی (صلى الله عليه وسلم) کو یہ بات پہنچی تو آپ (صلى الله عليه وسلم) نے فرمایا۔ اگر وہ ایسا کرتا تو فرشتے اسے پکڑ لیتے۔ (صحيح البخاري، تفسير سورة العلق)۔
96,16,نَاصِيَةٖ كَٰذِبَةٍ خَاطِئَةٖ,ایسی پیشانی جو جھوٹی خطا کار ہے.(1),(1) پیشانی کی یہ صفات بطور مجاز ہیں، جھوٹی ہے اپنی بات میں، خطاکار ہے اپنے فعل میں۔
96,17,فَلۡيَدۡعُ نَادِيَهُۥ,یہ اپنی مجلس والوں کو بلالے.,
96,18,سَنَدۡعُ ٱلزَّبَانِيَةَ,ہم بھی (دوزخ کے) پیادوں کو بلالیں گے.(1),(1) حدیث میں آتا ہے کہ نبی (صلى الله عليه وسلم) خانہ کعبہ کے پاس نماز پڑھ رہے تھے۔ ابوجہل گزرا تو کہا اے محمد! (صلى الله عليه وسلم) میں نے تجھے نماز پڑھنے سے منع نہیں کیا تھا؟ اور آپ (صلى الله عليه وسلم) سے سخت دھمکی آمیز باتیں کیں، آپ (صلى الله عليه وسلم) نے کڑا جواب دیا تو کہنے لگا اے محمد! (صلى الله عليه وسلم) تو مجھے کس چیز سے ڈراتا ہے؟ اللہ کی قسم، اس وادی میں سب سے زیادہ میرے حمایتی اور مجلس والے ہیں، جس پر یہ آیت نازل ہوئی۔ حضرت ابن عباس (رضي الله عنه) ما فرماتے ہیں، اگر وہ اپنے حمایتیوں کو بلاتا تو اسی وقت ملائکہ عذاب اسے اسے پکڑ لیتے۔( ترمذی، تفسیر سورۂ اقر﯋ مسند احمد، 1/ 329 وتفسیر ابن جریر) اور صحیح مسلم کے الفاظ ہیں کہ اس نے آگے بڑھ کر آپ (صلى الله عليه وسلم) کی گردن پر پیر رکھنے کا ارادہ کیا کہ ایک دم الٹے پاؤں پیچھے ہٹا اور اپنے ہاتھوں سے اپنا بچاؤ کرنے لگا، اس سے کہا گیا، کیا بات ہے؟ اس نے کہا کہ میرے اور محمد(صلى الله عليه وسلم) کے درمیان آگ کی خندق، ہولناک منظر اور بہت سارے پر ہیں۔ رسول اللہ (صلى الله عليه وسلم) نے فرمایا، اگر یہ میرے قریب ہوتا تو فرشتے اس کی بوٹی بوٹی نوچ لیتے۔ (كتاب صفة القيامة، باب إن الإنسان ليطغى) الزَّبَانِيَة، داروغے اور پولیس۔ یعنی طاقتور لشکر، جس کا کوئی مقابلہ نہیں کر سکتا۔
96,19,كَلَّا لَا تُطِعۡهُ وَٱسۡجُدۡۤ وَٱقۡتَرِب۩,خبردار! اس کا کہنا ہرگز نہ ماننا اور سجده کر اور قریب ہو جا.(1),
