surah,ayah,arabic,translation
1,,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,1. Меҳрибон ва раҳмли Аллоҳ номи билан (бошлайман).
1,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,2. Ҳамду сано бутун оламлар Парвардигори Аллоҳ учундир.
1,,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,3. Меҳрибон ва Раҳмли.
1,,مَٰلِكِ يَوۡمِ ٱلدِّينِ,4. Жазо (Қиёмат) кунининг Эгаси — Подшоҳи.
1,,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,5. Сенгагина ибодат қиламиз ва Сендангина мадад сўраймиз.
1,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,6. Бизларни Тўғри Йўлга йўллагайсан.
1,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"7. У шундай зотларнинг йўлики, Сен Ўзинг уларга инъом қилгансан — улар ғазабга дучор бўлмаган ва залолатга кетмаган — адашмаганларнинг йўлидир."
2,,الٓمٓ,"1. Алиф, лом, мим."
2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,2. (Ҳақ эканлигига) ҳеч қандай шак-шубҳа бўлмаган ушбу Китоб тақволи кишилар учун раҳбар – йўлбошчидир.
2,,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"3. Улар ғойибга ишонадиган, намозни тўкис адо этадиган ва биз ризқ қилиб берган нарсалардан инфоқ-эҳсон қиладиган зотлардир."
