surah,ayah,arabic_text,translation,footnotes
76,1,هَلۡ أَتَىٰ عَلَى ٱلۡإِنسَٰنِ حِينٞ مِّنَ ٱلدَّهۡرِ لَمۡ يَكُن شَيۡـٔٗا مَّذۡكُورًا,"1. Аниқки, инсоннинг устига замондан у тилга олгулик бир нарса бўлмаган вақт-муддат ҳам келгандир.","И з о ҳ. Ушбу ояти каримани муфассирлар икки хил тафсир қилганлар. Биринчи тафсир: Аллоҳ таоло Ер юзидаги барча мавжудотни ва ундаги ҳаёт кечиришга қулай мувофиқ иқлимни Инсон учун яратгандир. Лекин Аллоҳ мана шу оламни яратганидан то Одам алайҳиссаломни яратиб, унга жон ато этгунича орадан ўтган узун бир муддатда инсон исмли, Яратганнинг Ер юзидаги халифаси бўлгувчи жонзот дунёга келиши зикр қилинмаган — тилга олинмаган эди. Иккинчи тафсир: Одамзот она қорнида пайдо бўлганидан тортиб, то инсон шаклига кириб, унга жон ато этилгунича ўтадиган муддатда уни аввал нутфа, сўнг лахта қон, кейин бир парча гўшт деб номланади-ю, аммо уни ҳали инсон дейилмайди. Аниқки, ҳар бир инсон то онадан таваллуд топгунича мана шу савдоларни ўз бошидан ўтказгандир."
76,2,إِنَّا خَلَقۡنَا ٱلۡإِنسَٰنَ مِن نُّطۡفَةٍ أَمۡشَاجٖ نَّبۡتَلِيهِ فَجَعَلۡنَٰهُ سَمِيعَۢا بَصِيرًا," 2. Дарҳақиқат, Биз инсонни (вояга етганидан сўнг шариат таклифлари билан) имтиҳон қилгувчи бўлган ҳолимизда (оталик ва оналик сувларидан) аралаш бўлган нутфадан яратдик. Бас, уни (Бизнинг оятларимизни тинглаши ва оламдаги Бизнинг борлигимизга далолат қилиб турган аломатларни кўриши учун) эшитгувчи, кўргувчи қилиб қўйдик.",
76,3,إِنَّا هَدَيۡنَٰهُ ٱلسَّبِيلَ إِمَّا شَاكِرٗا وَإِمَّا كَفُورًا," 3. Дарҳақиқат, биз уни (инсонни) хоҳ у шукр қилгувчи-мусулмон бўлсин ва хоҳ кўрнамак-кофир бўлсин (тўғри) йўлга ҳидоят қилдик (яъни, шукр қилгувчилар Биз уларни ҳидоят қилган Тўғри Йўлни — Ҳақ динни маҳкам тутадилар, кўрнамак кимсалар эса ўзларига кўрсатилган Тўғри Йўлдан юз ўгириб кетадилар).",
76,4,إِنَّآ أَعۡتَدۡنَا لِلۡكَٰفِرِينَ سَلَٰسِلَاْ وَأَغۡلَٰلٗا وَسَعِيرًا, 4. Албатта Биз кофирлар учун занжиру кишанларни ва (дўзах) алангасини тайёрлаб қўйгандирмиз!,
76,5,إِنَّ ٱلۡأَبۡرَارَ يَشۡرَبُونَ مِن كَأۡسٖ كَانَ مِزَاجُهَا كَافُورًا, 5. Албатта (ҳаёти-дунёдан Аллоҳ таолонинг амру фармонларига итоат қилиб ўтган) яхшилар (жаннатда) мизожи-аралашмаси кофур майкосалардан (май) ичурлар. ,
76,6,عَيۡنٗا يَشۡرَبُ بِهَا عِبَادُ ٱللَّهِ يُفَجِّرُونَهَا تَفۡجِيرٗا,6. (Улар) Аллоҳнинг (яхши) бандалари ичадиган (жаннатий) чашма бўлган майкосалардан (май) ичурлар. Улар у (чашмани ўзлари хоҳлаган жойдан) чиқариб-оқизиб олурлар.,
76,7,يُوفُونَ بِٱلنَّذۡرِ وَيَخَافُونَ يَوۡمٗا كَانَ شَرُّهُۥ مُسۡتَطِيرٗا,7. Улар (ҳаёти-дунёда ўз зиммаларига олган) назрларини тўла адо қилурлар ва ёмонлик-даҳшатлари кенг ёйилгувчи бўлган (Қиёмат) кунидан қўрқурлар.,
76,8,وَيُطۡعِمُونَ ٱلطَّعَامَ عَلَىٰ حُبِّهِۦ مِسۡكِينٗا وَيَتِيمٗا وَأَسِيرًا,"8. Ва таомни суюб-хоҳлаб турсалар-да, (ўзлари емасдан) мискин, етим ва асирларни таомлантирурлар.",
76,9,إِنَّمَا نُطۡعِمُكُمۡ لِوَجۡهِ ٱللَّهِ لَا نُرِيدُ مِنكُمۡ جَزَآءٗ وَلَا شُكُورًا,9. (Улар айтурлар): «Биз сизларни ёлғиз Аллоҳнинг Юзи учун таомлантирурмиз. Сизлардан (бу ишимиз учун) бирон мукофот ва миннатдорчилик истамасмиз — кутмасмиз.,
76,10,إِنَّا نَخَافُ مِن رَّبِّنَا يَوۡمًا عَبُوسٗا قَمۡطَرِيرٗا,"10. Албатта бизлар Парвардигоримиз томонидан бўладиган, (даҳшатли азобидан юзлар) тиришиб, буришиб қолгувчи бир Кундан қўрқурмиз».",
