surah,ayah,arabic_text,translation,footnotes
1,1,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,Меҳрибон ва Раҳмли Аллоҳ номи билан (бошлайман).,
1,2,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,Ҳамд оламлар Парвардигори Аллоҳникидир.,
1,3,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,Меҳрибон ва Раҳмли.,
1,4,مَٰلِكِ يَوۡمِ ٱلدِّينِ,Қиёмат кунининг Эгаси.,
1,5,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,Сенгагина ибодат қиламиз ва Сендангина ёрдам сўраймиз.,
1,6,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,Бизни тўғри йўлга йўллагин.,
1,7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,Ўзинг неъмат берганларинг йўлига. Ғазабга учраганлар ва адашганларнинг (йўлига) эмас.,
2,1,الٓمٓ,Алиф. Лом. Мим.,
2,2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,Бу китобда шак-шубҳа йўқдир. У тақводорлар учун ҳидоятдир.,
2,3,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"(Тақводорлар)ки, ғайбга иймон келтирурлар, намозни тўкис адо этурлар ва Биз уларга берган ризқдан инфоқ-эҳсон қилурлар.",
2,4,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,"(Тақводорларки,) сизга нозил қилинган (ваҳий)га ҳам, сиздан олдинги (пайғамбар)ларга нозил қилинган (ваҳий)га ҳам иймон келтирурлар ва охиратга аниқ ишонурлар.",
2,5,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,Ана ўшалар Парвардигорлари тарафидан ҳидоятга эришганлар ва нажот топгувчилардир.,
2,6,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,"Куфр йўлини тутган кимсалар эса хоҳ уларни (Аллоҳнинг азобидан) қўрқитинг, хоҳ қўрқитманг, уларга баробардир — иймон келтирмайдилар.",
2,7,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,"Аллоҳ уларнинг қалблари ва қулоқларини муҳрлаб қўйган, кўзларида эса парда бор. Уларга улкан азоб бордир.",
2,8,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,"Ва одамлардан, Аллоҳга ва охират кунига иймон келтирдик, дейдиганлари бор. Ҳолбуки, улар мўмин эмаслар.",
2,9,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,Улар Аллоҳни ва иймон келтирганларни алдамоқчи бўладилар. (Аслида эса) сезмаганлари ҳолда ўзларини ўзлари алдайдилар.,
2,10,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,"Уларнинг дилларида мараз бор, бас, Аллоҳ маразларини янада зиёда қилди. Ёлғон гапирганлари учун уларга аламли азоб бордир.",
2,11,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,"Уларга: «Ер юзида бузғунчилик қилманглар», дейилса, «Биз ислоҳ қилувчилармиз», дейдилар.",
2,12,أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ,"Огоҳ бўлингизким, айнан ўшалар бузғунчилардир, лекин ўзлари буни сезмаслар.",
2,13,وَإِذَا قِيلَ لَهُمۡ ءَامِنُواْ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓاْ أَنُؤۡمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُۗ أَلَآ إِنَّهُمۡ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعۡلَمُونَ,"Уларга: «Одамларга ўхшаб иймон келтиринглар», дейилса, «Эси пастларга ўхшаб иймон келтирайликми», дейдилар. Огоҳ бўлингизки, уларнинг ўзлари эси пастлардир. Лекин буни билмаслар.",
2,14,وَإِذَا لَقُواْ ٱلَّذِينَ ءَامَنُواْ قَالُوٓاْ ءَامَنَّا وَإِذَا خَلَوۡاْ إِلَىٰ شَيَٰطِينِهِمۡ قَالُوٓاْ إِنَّا مَعَكُمۡ إِنَّمَا نَحۡنُ مُسۡتَهۡزِءُونَ,"Мўминларга йўлиққанларида, иймон келтирдик, дерлар, шайтонлари билан холи қолганда эса, биз сизлар биланмиз, биз уларнинг устидан куляпмиз, холос, дерлар.",
2,15,ٱللَّهُ يَسۡتَهۡزِئُ بِهِمۡ وَيَمُدُّهُمۡ فِي طُغۡيَٰنِهِمۡ يَعۡمَهُونَ,Аллоҳ уларнинг устидан кулади ва ўз туғёнларида адашиб юришларига қўйиб беради.,
2,16,أُوْلَٰٓئِكَ ٱلَّذِينَ ٱشۡتَرَوُاْ ٱلضَّلَٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمۡ وَمَا كَانُواْ مُهۡتَدِينَ,"Улар ҳидоятнинг ўрнига залолатни сотиб олган кимсалардир. Бас, бу савдоларида фойда қилмадилар ва ҳидоят топганлардан бўлмадилар.",
