surah,ayah,arabic_text,translation,footnotes
74,1,يَٰٓأَيُّهَا ٱلۡمُدَّثِّرُ,"Эй, бурканиб ётган!",
74,2,قُمۡ فَأَنذِرۡ,Туринг ва огоҳлантиринг!,
74,3,وَرَبَّكَ فَكَبِّرۡ,Парвардигорингизни улуғланг!,
74,4,وَثِيَابَكَ فَطَهِّرۡ,Либосларингизни покланг!,
74,5,وَٱلرُّجۡزَ فَٱهۡجُرۡ,Бутлардан йироқ бўлинг!,
74,6,وَلَا تَمۡنُن تَسۡتَكۡثِرُ,"Кўп санаб, миннат қилманг.",
74,7,وَلِرَبِّكَ فَٱصۡبِرۡ,Парвардигорингиз учун сабр қилинг.,
74,8,فَإِذَا نُقِرَ فِي ٱلنَّاقُورِ,Бурғу чалинганида.,
74,9,فَذَٰلِكَ يَوۡمَئِذٖ يَوۡمٌ عَسِيرٌ,Ана ўша кун қийин кундир!,
74,10,عَلَى ٱلۡكَٰفِرِينَ غَيۡرُ يَسِيرٖ,Кофирларга осон бўлмаган (кундир)!,
74,11,ذَرۡنِي وَمَنۡ خَلَقۡتُ وَحِيدٗا,Мен якка ҳолида яратган кимсани Ўзимга қўйиб беринг.,
74,12,وَجَعَلۡتُ لَهُۥ مَالٗا مَّمۡدُودٗا,Унга мўл-кўл мол-давлат бердим.,
74,13,وَبَنِينَ شُهُودٗا,Ва ҳозиру нозир фарзандлар ҳам.,
74,14,وَمَهَّدتُّ لَهُۥ تَمۡهِيدٗا,Унга осонлаштириб қўйдим.,
74,15,ثُمَّ يَطۡمَعُ أَنۡ أَزِيدَ,Кейин у янада зиёда қилишимни тама қилур.,
74,16,كَلَّآۖ إِنَّهُۥ كَانَ لِأٓيَٰتِنَا عَنِيدٗا,Асло! У Бизнинг оятларимизга қаршилик қилгувчи эди.,
74,17,سَأُرۡهِقُهُۥ صَعُودًا,Яқинда Мен уни бир машаққатга дучор қиламан.,
74,18,إِنَّهُۥ فَكَّرَ وَقَدَّرَ,"Дарҳақиқат, у ўйлади ва режа тузди.",
74,19,فَقُتِلَ كَيۡفَ قَدَّرَ,"Ҳалок қилингур, қандай режа тузди-я?!",
74,20,ثُمَّ قُتِلَ كَيۡفَ قَدَّرَ,"Яна ҳалок қилингур, қандай режа тузди-я?!",
74,21,ثُمَّ نَظَرَ,Кейин назар солди.,
74,22,ثُمَّ عَبَسَ وَبَسَرَ,Кейин афтини буриштирди ва қовоғини солди.,
74,23,ثُمَّ أَدۡبَرَ وَٱسۡتَكۡبَرَ,Кейин юз ўгирди ва мутакаббирлик қилди.,
74,24,فَقَالَ إِنۡ هَٰذَآ إِلَّا سِحۡرٞ يُؤۡثَرُ,"Деди: «Албатта, бу нақл қилинган сеҳрдан ўзга нарса эмас».",
74,25,إِنۡ هَٰذَآ إِلَّا قَوۡلُ ٱلۡبَشَرِ,«Бу инсон сўзидан бошқа нарса эмас».,
74,26,سَأُصۡلِيهِ سَقَرَ,Яқинда уни Сақарга киритурман.,
74,27,وَمَآ أَدۡرَىٰكَ مَا سَقَرُ,Сақарнинг нима эканини сиз қаердан ҳам билар эдингиз.,
74,28,لَا تُبۡقِي وَلَا تَذَرُ,У на қолдиради ва на тарк этади.,
74,29,لَوَّاحَةٞ لِّلۡبَشَرِ,У терини қаттиқ куйдирувчидир.,
74,30,عَلَيۡهَا تِسۡعَةَ عَشَرَ,Унинг устида ўн тўққизта бор.,
74,31,وَمَا جَعَلۡنَآ أَصۡحَٰبَ ٱلنَّارِ إِلَّا مَلَٰٓئِكَةٗۖ وَمَا جَعَلۡنَا عِدَّتَهُمۡ إِلَّا فِتۡنَةٗ لِّلَّذِينَ كَفَرُواْ لِيَسۡتَيۡقِنَ ٱلَّذِينَ أُوتُواْ ٱلۡكِتَٰبَ وَيَزۡدَادَ ٱلَّذِينَ ءَامَنُوٓاْ إِيمَٰنٗا وَلَا يَرۡتَابَ ٱلَّذِينَ أُوتُواْ ٱلۡكِتَٰبَ وَٱلۡمُؤۡمِنُونَ وَلِيَقُولَ ٱلَّذِينَ فِي قُلُوبِهِم مَّرَضٞ وَٱلۡكَٰفِرُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلٗاۚ كَذَٰلِكَ يُضِلُّ ٱللَّهُ مَن يَشَآءُ وَيَهۡدِي مَن يَشَآءُۚ وَمَا يَعۡلَمُ جُنُودَ رَبِّكَ إِلَّا هُوَۚ وَمَا هِيَ إِلَّا ذِكۡرَىٰ لِلۡبَشَرِ,"Дўзах эгалари - қўриқчиларини фақат фаришталар қилдик. Уларнинг сонини куфр келтирганлар учун синовдан ўзга нарса қилмадик. Токи китоб берилганлар аниқ билиб олсинлар ва иймон келтирганларнинг иймони янада зиёда бўлсин. Китоб берилганлар ҳам, мўминлар ҳам шубҳага бормасинлар. Қалбида марази бор кимсалар ва кофирлар эса: «Бу билан Аллоҳ нимани мисол қилмоқчи бўляпти», деб қолсинлар. Аллоҳ мана шундай Ўзи истаган одамни адаштиради ва Ўзи истаган одамни ҳидоят қилади. Парвардигорингизнинг лашкарларини Ўзидан ўзга ҳеч кимса билмас. У башарият учун бир эслатма, холос.",
74,32,كَلَّا وَٱلۡقَمَرِ,Йўқ! Ойга қасам.,
74,33,وَٱلَّيۡلِ إِذۡ أَدۡبَرَ,Ўтиб кетган тунга қасам.,
74,34,وَٱلصُّبۡحِ إِذَآ أَسۡفَرَ,Ёришиб келаётган тонгга қасам.,
74,35,إِنَّهَا لَإِحۡدَى ٱلۡكُبَرِ,"Дарҳақиқат, у улканларнинг биридир.",
74,36,نَذِيرٗا لِّلۡبَشَرِ,У башарият учун огоҳлантирувчидир.,
