surah,ayah,arabic_text,translation,footnotes
85,1,وَٱلسَّمَآءِ ذَاتِ ٱلۡبُرُوجِ,Буржларни ўз ичига олган осмонга қасам;,
85,2,وَٱلۡيَوۡمِ ٱلۡمَوۡعُودِ,Ваъда қилинган кунга қасам;,
85,3,وَشَاهِدٖ وَمَشۡهُودٖ,Гувоҳ бўлувчи ва гувоҳ бўлинувчига қасам;,
85,4,قُتِلَ أَصۡحَٰبُ ٱلۡأُخۡدُودِ,Чоҳ эгаларига лаънат бўлсин!,
85,5,ٱلنَّارِ ذَاتِ ٱلۡوَقُودِ,У ёқилғиси бор оловдир.,
85,6,إِذۡ هُمۡ عَلَيۡهَا قُعُودٞ,Ўзлари эса унинг атрофида ўтирибдилар.,
85,7,وَهُمۡ عَلَىٰ مَا يَفۡعَلُونَ بِٱلۡمُؤۡمِنِينَ شُهُودٞ,Мўминларга нисбатан қилаётган ишларига ўзлари гувоҳдирлар.,
85,8,وَمَا نَقَمُواْ مِنۡهُمۡ إِلَّآ أَن يُؤۡمِنُواْ بِٱللَّهِ ٱلۡعَزِيزِ ٱلۡحَمِيدِ,"Улар мўминлардан Азиз (Қудратли, Енгилмас) ва Ҳамид (Мақтовга лойиқ) Аллоҳга иймон келтирганлари учунгина ўч олдилар.",
85,9,ٱلَّذِي لَهُۥ مُلۡكُ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِۚ وَٱللَّهُ عَلَىٰ كُلِّ شَيۡءٖ شَهِيدٌ,"У шундай Зотки, осмонлару ернинг мулки Уникидир. Аллоҳ ҳар бир нарсага Гувоҳдир.",
85,10,إِنَّ ٱلَّذِينَ فَتَنُواْ ٱلۡمُؤۡمِنِينَ وَٱلۡمُؤۡمِنَٰتِ ثُمَّ لَمۡ يَتُوبُواْ فَلَهُمۡ عَذَابُ جَهَنَّمَ وَلَهُمۡ عَذَابُ ٱلۡحَرِيقِ,"Албатта, мўмин ва мўминаларни фитнага солиб, кейин тавба қилмаганларга жаҳаннам азоби ва куйдирувчи азоб бордир.",
85,11,إِنَّ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ جَنَّٰتٞ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۚ ذَٰلِكَ ٱلۡفَوۡزُ ٱلۡكَبِيرُ,"Албатта, иймон келтирган ва яхши амаллар қилган зотлар учун остидан дарёлар оқиб турадиган жаннатлар бордир. Мана шу катта бахтдир.",
85,12,إِنَّ بَطۡشَ رَبِّكَ لَشَدِيدٌ,"Албатта, Парвардигорингизнинг ушлаши қаттиқдир.",
85,13,إِنَّهُۥ هُوَ يُبۡدِئُ وَيُعِيدُ,"Албатта, Унинг Ўзи бошлайди ва қайтаради.",
85,14,وَهُوَ ٱلۡغَفُورُ ٱلۡوَدُودُ,"У мағфират қилувчи, яхшиликни раво кўрувчи Зотдир.",
85,15,ذُو ٱلۡعَرۡشِ ٱلۡمَجِيدُ,У Арш соҳибидир. Буюкдир.,
85,16,فَعَّالٞ لِّمَا يُرِيدُ,Хоҳлаган ишини қилгувчидир.,
85,17,هَلۡ أَتَىٰكَ حَدِيثُ ٱلۡجُنُودِ,Сизга қўшинларнинг хабари келдими?,
85,18,فِرۡعَوۡنَ وَثَمُودَ,Фиръавн ва Самуднинг.,
85,19,بَلِ ٱلَّذِينَ كَفَرُواْ فِي تَكۡذِيبٖ,Асло! Куфр келтирганлар ёлғонга чиқаришдадирлар.,
85,20,وَٱللَّهُ مِن وَرَآئِهِم مُّحِيطُۢ,"Ҳолбуки, Аллоҳ уларнинг ортидан иҳота қилиб турувчидир.",
85,21,بَلۡ هُوَ قُرۡءَانٞ مَّجِيدٞ,(Қуръон Карим) асло (шеър эмас)! У буюк Қуръондир.,
85,22,فِي لَوۡحٖ مَّحۡفُوظِۭ,(У) Лавҳул Маҳфуздадир.,
