surah,ayah,arabic_text,translation,footnotes
50,1,قٓۚ وَٱلۡقُرۡءَانِ ٱلۡمَجِيدِ,Qaf.[1] Thề bởi Qur’an Quang Vinh.,[1] Xem lại phần chú thích ở câu 1 của chương Al-Baqarah.
50,2,بَلۡ عَجِبُوٓاْ أَن جَآءَهُم مُّنذِرٞ مِّنۡهُمۡ فَقَالَ ٱلۡكَٰفِرُونَ هَٰذَا شَيۡءٌ عَجِيبٌ,"Không, họ kinh ngạc về việc có một người cảnh báo xuất thân từ họ đến gặp họ. Vì vậy, những kẻ vô đức tin nói: “Đây là một điều gì đó thực sự kỳ lạ!”",
50,3,أَءِذَا مِتۡنَا وَكُنَّا تُرَابٗاۖ ذَٰلِكَ رَجۡعُۢ بَعِيدٞ,"“Khi chúng ta chết đi và đã thành cát bụi, (có thật là chúng ta sẽ được dựng sống trở lại)?! Đó quả là một sự trở lại xa vời.”",
50,4,قَدۡ عَلِمۡنَا مَا تَنقُصُ ٱلۡأَرۡضُ مِنۡهُمۡۖ وَعِندَنَا كِتَٰبٌ حَفِيظُۢ,"Quả thật, TA (Allah) thừa biết việc đất đai tiêu hủy (thân xác) họ (sau khi họ chết đi); nhưng ở nơi TA có một quyển sổ bộ lưu trữ.",
50,5,بَلۡ كَذَّبُواْ بِٱلۡحَقِّ لَمَّا جَآءَهُمۡ فَهُمۡ فِيٓ أَمۡرٖ مَّرِيجٍ,"Không, họ đã phủ nhận Chân Lý khi Nó đến với họ, vì vậy họ đang ở trong tình trạng bối rối (không biết thật hay giả).",
50,6,أَفَلَمۡ يَنظُرُوٓاْ إِلَى ٱلسَّمَآءِ فَوۡقَهُمۡ كَيۡفَ بَنَيۡنَٰهَا وَزَيَّنَّٰهَا وَمَا لَهَا مِن فُرُوجٖ,Sao họ không nhìn lên bầu trời phía trên họ xem TA đã dựng và trang hoàng nó như thế nào và (làm thế nào) nó không có rạn nứt?,
50,7,وَٱلۡأَرۡضَ مَدَدۡنَٰهَا وَأَلۡقَيۡنَا فِيهَا رَوَٰسِيَ وَأَنۢبَتۡنَا فِيهَا مِن كُلِّ زَوۡجِۭ بَهِيجٖ,"Và trái đất, TA đã trải rộng nó ra và ném lên nó những quả núi vững chắc và TA đã cho mọc trên nó đủ loại cây cối và thảo mộc.",
50,8,تَبۡصِرَةٗ وَذِكۡرَىٰ لِكُلِّ عَبۡدٖ مُّنِيبٖ,(TA đã tạo ra tất cả những thứ đó để đưa ra) cái nhìn sâu sắc và một sự nhắc nhở cho mỗi người bề tôi quay về (với TA).,
50,9,وَنَزَّلۡنَا مِنَ ٱلسَّمَآءِ مَآءٗ مُّبَٰرَكٗا فَأَنۢبَتۡنَا بِهِۦ جَنَّٰتٖ وَحَبَّ ٱلۡحَصِيدِ,Và TA đã ban từ trên trời xuống nguồn nước (mưa) mà TA dùng làm mọc ra những khu vườn và (các loại) hạt vào mùa thu hoạch.,
50,10,وَٱلنَّخۡلَ بَاسِقَٰتٖ لَّهَا طَلۡعٞ نَّضِيدٞ,(TA làm mọc ra những) cây chà là cao lớn có trái từng chùm chồng lên nhau.,
50,11,رِّزۡقٗا لِّلۡعِبَادِۖ وَأَحۡيَيۡنَا بِهِۦ بَلۡدَةٗ مَّيۡتٗاۚ كَذَٰلِكَ ٱلۡخُرُوجُ,(Làm) nguồn lương thực cho bầy tôi (của TA). Và TA dùng nó (nước mưa) làm sống lại một vùng đất đã chết. Và việc phục sinh cũng tương tự như thế.,
50,12,كَذَّبَتۡ قَبۡلَهُمۡ قَوۡمُ نُوحٖ وَأَصۡحَٰبُ ٱلرَّسِّ وَثَمُودُ,"Trước họ, người dân của Nuh, người dân Rass, và người dân Thamud đã phủ nhận.",
