surah,ayah,arabic_text,translation,footnotes
73,1,يَٰٓأَيُّهَا ٱلۡمُزَّمِّلُ,Ìwọ olùdaṣọbora.,
73,2,قُمِ ٱلَّيۡلَ إِلَّا قَلِيلٗا,Dìde (kírun) ní òru àyàfi fún ìgbà díẹ̀ (ni kí o fi sùn nínú òru rẹ).,
73,3,نِّصۡفَهُۥٓ أَوِ ٱنقُصۡ مِنۡهُ قَلِيلًا,Lo ìlàjì rẹ̀ tàbí dín díẹ̀ kù nínú rẹ̀.,
73,4,أَوۡ زِدۡ عَلَيۡهِ وَرَتِّلِ ٱلۡقُرۡءَانَ تَرۡتِيلًا,Tàbí fi kún un. Kí o sì ké al-Ƙur’ān pẹ̀lú pẹ̀lẹ́pẹ̀lẹ́.[1],"1. Ní ìbámu sí āyah yìí, kí ẹnì kan ké odidi al-Ƙur’ān parí láààrin àsìkò díẹ̀ nípasẹ̀ ìkánjú kò lè mú kí onítọ̀ún gbádùn adùn al-Ƙur’ān. Kò sì lè mú ẹ̀san rẹ̀ kún kẹ́kẹ́."
73,5,إِنَّا سَنُلۡقِي عَلَيۡكَ قَوۡلٗا ثَقِيلًا,Dájúdájú Àwa máa gbé ọ̀rọ̀ tó lágbára fún ọ.,
73,6,إِنَّ نَاشِئَةَ ٱلَّيۡلِ هِيَ أَشَدُّ وَطۡـٔٗا وَأَقۡوَمُ قِيلًا,"Dájúdájú ìdìde kírun lóru, ó wọnú ọkàn jùlọ, ó sì dára jùlọ fún kíké (al-Ƙur’ān).",
73,7,إِنَّ لَكَ فِي ٱلنَّهَارِ سَبۡحٗا طَوِيلٗا,Dájúdájú iṣẹ́ púpọ̀ wà fún ọ ní ọ̀sán.,
73,8,وَٱذۡكُرِ ٱسۡمَ رَبِّكَ وَتَبَتَّلۡ إِلَيۡهِ تَبۡتِيلٗا,Rántí orúkọ Olúwa rẹ. Kí o sì da ọkàn kọ Ọ́ pátápátá.,
73,9,رَّبُّ ٱلۡمَشۡرِقِ وَٱلۡمَغۡرِبِ لَآ إِلَٰهَ إِلَّا هُوَ فَٱتَّخِذۡهُ وَكِيلٗا,"Olúwa ibùyọ òòrùn àti ibùwọ̀ òòrùn, kò sí ọlọ́hun kan tí ẹ gbọ́dọ̀ jọ́sìn fún ní ọ̀nà òdodo àfi Òun. Nítorí náà, mú Un ní Aláfẹ̀yìntì.",
73,10,وَٱصۡبِرۡ عَلَىٰ مَا يَقُولُونَ وَٱهۡجُرۡهُمۡ هَجۡرٗا جَمِيلٗا,Kí o sì ṣe sùúrù lórí ohun tí wọ́n ń wí. Pa wọ́n tì ní ìpatì tó rẹwà.,
73,11,وَذَرۡنِي وَٱلۡمُكَذِّبِينَ أُوْلِي ٱلنَّعۡمَةِ وَمَهِّلۡهُمۡ قَلِيلًا,"Fi Mí dá àwọn olùpe-òdodo-nírọ́, àwọn ọlọ́rọ̀. Kí o sì lọ́ra fún wọn fún ìgbà díẹ̀.",
73,12,إِنَّ لَدَيۡنَآ أَنكَالٗا وَجَحِيمٗا,Dájúdájú ṣẹ́kẹ́ṣẹkẹ̀ àti Iná Jẹhīm ń bẹ lọ́dọ̀ Wa.,
73,13,وَطَعَامٗا ذَا غُصَّةٖ وَعَذَابًا أَلِيمٗا,Oúnjẹ háfunháfun àti ìyà ẹlẹ́ta-eléro (tún wà fún wọn).,
73,14,يَوۡمَ تَرۡجُفُ ٱلۡأَرۡضُ وَٱلۡجِبَالُ وَكَانَتِ ٱلۡجِبَالُ كَثِيبٗا مَّهِيلًا,Ní ọjọ́ tí ilẹ̀ àti àwọn àpáta yóò máa mì tìtì. Àwọn àpáta sì máa di yanrìn tí wọ́n kójọ tí wọ́n túká.,
73,15,إِنَّآ أَرۡسَلۡنَآ إِلَيۡكُمۡ رَسُولٗا شَٰهِدًا عَلَيۡكُمۡ كَمَآ أَرۡسَلۡنَآ إِلَىٰ فِرۡعَوۡنَ رَسُولٗا,Dájúdájú Àwa rán Òjíṣẹ́ kan níṣẹ́ si yín (tí ó jẹ́) olùjẹ́rìí lórí yín gẹ́gẹ́ bí A ṣe rán Òjíṣẹ́ kan níṣẹ́ sí Fir‘aon.,
73,16,فَعَصَىٰ فِرۡعَوۡنُ ٱلرَّسُولَ فَأَخَذۡنَٰهُ أَخۡذٗا وَبِيلٗا,Ṣùgbọ́n Fir‘aon yapa Òjíṣẹ́ náà. A sì gbá a mú ní ìgbámú líle.,
73,17,فَكَيۡفَ تَتَّقُونَ إِن كَفَرۡتُمۡ يَوۡمٗا يَجۡعَلُ ٱلۡوِلۡدَٰنَ شِيبًا,"Tí ẹ̀yin bá ṣàì gbàgbọ́, báwo ni ẹ̀yin yóò ṣe bẹ̀rù ọjọ́ kan tó máa mú àwọn ọmọdé hewú?",
73,18,ٱلسَّمَآءُ مُنفَطِرُۢ بِهِۦۚ كَانَ وَعۡدُهُۥ مَفۡعُولًا,Sánmọ̀ sì máa fàya pẹ́rẹpẹ̀rẹ nínú rẹ̀. Àdéhùn Rẹ̀ jẹ́ ohun tí ó máa ṣẹ.,
73,19,إِنَّ هَٰذِهِۦ تَذۡكِرَةٞۖ فَمَن شَآءَ ٱتَّخَذَ إِلَىٰ رَبِّهِۦ سَبِيلًا,"Dájúdájú èyí ni ìrántí. Nítorí náà, ẹni tí ó bá fẹ́ kí ó mú ojú ọ̀nà kan tọ̀ dé ọ̀dọ̀ Olúwa rẹ̀.",
