surah,ayah,arabic_text,translation,footnotes
92,1,وَٱلَّيۡلِ إِذَا يَغۡشَىٰ,Allāhu fi alẹ́ nígbà tí (ilẹ̀) bá ṣú búra.,
92,2,وَٱلنَّهَارِ إِذَا تَجَلَّىٰ,Ó tún fi ọ̀sán nígbà tí (ọ̀sán) bá pọ́n búra.,
92,3,وَمَا خَلَقَ ٱلذَّكَرَ وَٱلۡأُنثَىٰٓ,Ó tún fi Ẹni tí Ó dá akọ àti abo búra.[1],1. Allāhu Ẹlẹ́dàá ni Ẹni tí Ó dá akọ àti abo. Ó sì ń fi ara Rẹ̀ búra.
92,4,إِنَّ سَعۡيَكُمۡ لَشَتَّىٰ,Dájúdájú ọ̀tọ̀ọ̀tọ̀ ni iṣẹ́ yín.,
92,5,فَأَمَّا مَنۡ أَعۡطَىٰ وَٱتَّقَىٰ,"Ní ti ẹni tí ó bá tọrẹ, tí ó sì bẹ̀rù (Allāhu),",
92,6,وَصَدَّقَ بِٱلۡحُسۡنَىٰ,"(tí) ó tún pe ẹ̀san rere (Ọgbà Ìdẹ̀ra) ní òdodo,",
92,7,فَسَنُيَسِّرُهُۥ لِلۡيُسۡرَىٰ,A sì máa ṣe iṣẹ́ rere ní ìrọ̀rùn fún un.,
92,8,وَأَمَّا مَنۢ بَخِلَ وَٱسۡتَغۡنَىٰ,"Ní ti ẹni tí ó bá yahun, tí ó sì rí ara rẹ̀ lẹ́ni tó rọrọ̀ tayọ ẹ̀san ọ̀run,",
92,9,وَكَذَّبَ بِٱلۡحُسۡنَىٰ,"(tí) ó tún pe ẹ̀san rere (Ọgbà Ìdẹ̀ra) ní irọ́,",
92,10,فَسَنُيَسِّرُهُۥ لِلۡعُسۡرَىٰ,A sì máa ṣe iṣẹ́ aburú ní ìrọ̀rùn fún un.,
92,11,وَمَا يُغۡنِي عَنۡهُ مَالُهُۥٓ إِذَا تَرَدَّىٰٓ,"Dúkìá rẹ̀ kò sì níí rọ̀ ọ́ lọ́rọ̀ nígbà tí ó bá parun, tí ó já bọ́ (sínú Iná).",
92,12,إِنَّ عَلَيۡنَا لَلۡهُدَىٰ,Dájúdájú tiWa ni (láti ṣàlàyé) ìmọ̀nà.,
92,13,وَإِنَّ لَنَا لَلۡأٓخِرَةَ وَٱلۡأُولَىٰ,Àti pé dájúdájú tiWa ni ọ̀run àti ayé.,
92,14,فَأَنذَرۡتُكُمۡ نَارٗا تَلَظَّىٰ,"Nítorí náà, Mo ti fi Iná tó ń jò fòfò kìlọ̀ fún yín.",
92,15,لَا يَصۡلَىٰهَآ إِلَّا ٱلۡأَشۡقَى,"Kò sí ẹni tí ó máa wọ inú rẹ̀ àfi olórí burúkú,",
92,16,ٱلَّذِي كَذَّبَ وَتَوَلَّىٰ,"ẹni tí ó pe òdodo ní irọ́, tí ó sì kẹ̀yìn sí i.",
92,17,وَسَيُجَنَّبُهَا ٱلۡأَتۡقَى,"Wọ́n sì máa gbé (Iná) jìnnà sí olùbẹ̀rù (Allāhu),",
92,18,ٱلَّذِي يُؤۡتِي مَالَهُۥ يَتَزَكَّىٰ,"ẹni tó ń fi dúkìá rẹ̀ tọrẹ, tí ó ń ṣàfọ̀mọ́ (rẹ̀).",
92,19,وَمَا لِأَحَدٍ عِندَهُۥ مِن نِّعۡمَةٖ تُجۡزَىٰٓ,"Kò sì sí oore ìdẹ̀ra kan tí (ó ní lọ́kàn) láti gbà ní ẹ̀san ní ọ̀dọ̀ ẹnikẹ́ni,",
92,20,إِلَّا ٱبۡتِغَآءَ وَجۡهِ رَبِّهِ ٱلۡأَعۡلَىٰ,"bí kò ṣe pé láti fi wá ojú rere Olúwa rẹ̀, Ẹni Gíga jùlọ.",
92,21,وَلَسَوۡفَ يَرۡضَىٰ,Láìpẹ́ ó sì máa yọ́nú (sí ẹ̀san rere rẹ̀).,
