surah,ayah,arabic_text,translation,footnotes
89,1,وَٱلۡفَجۡرِ,誓以黎明，,
89,2,وَلَيَالٍ عَشۡرٖ,与十夜，,
89,3,وَٱلشَّفۡعِ وَٱلۡوَتۡرِ,与偶数和奇数，,
89,4,وَٱلَّيۡلِ إِذَا يَسۡرِ,与离去的黑夜，,
89,5,هَلۡ فِي ذَٰلِكَ قَسَمٞ لِّذِي حِجۡرٍ,对于有理智者，此中有一种盟誓吗？,
89,6,أَلَمۡ تَرَ كَيۡفَ فَعَلَ رَبُّكَ بِعَادٍ,难道你不知道你的主怎样惩治阿德人——,
89,7,إِرَمَ ذَاتِ ٱلۡعِمَادِ,有高柱的伊赖姆人吗？,
89,8,ٱلَّتِي لَمۡ يُخۡلَقۡ مِثۡلُهَا فِي ٱلۡبِلَٰدِ,像那样的人，在别的城市里还没有被创造过的——,
89,9,وَثَمُودَ ٱلَّذِينَ جَابُواْ ٱلصَّخۡرَ بِٱلۡوَادِ,怎样惩治在山谷里凿石为家的赛莫德人，,
89,10,وَفِرۡعَوۡنَ ذِي ٱلۡأَوۡتَادِ,怎样惩治有武力的法老。,
89,11,ٱلَّذِينَ طَغَوۡاْ فِي ٱلۡبِلَٰدِ,这等人曾在国中放肆，,
89,12,فَأَكۡثَرُواْ فِيهَا ٱلۡفَسَادَ,乃多行不义，,
89,13,فَصَبَّ عَلَيۡهِمۡ رَبُّكَ سَوۡطَ عَذَابٍ,故你的主把一种刑罚，倾注在他们身上。,
89,14,إِنَّ رَبَّكَ لَبِٱلۡمِرۡصَادِ,你的主，确是监视的。,
89,15,فَأَمَّا ٱلۡإِنسَٰنُ إِذَا مَا ٱبۡتَلَىٰهُ رَبُّهُۥ فَأَكۡرَمَهُۥ وَنَعَّمَهُۥ فَيَقُولُ رَبِّيٓ أَكۡرَمَنِ,至于人，当他的主考验他，故优待他，而且使他过安逸的生活的时候，他说：“我的主优待我了。”,
89,16,وَأَمَّآ إِذَا مَا ٱبۡتَلَىٰهُ فَقَدَرَ عَلَيۡهِ رِزۡقَهُۥ فَيَقُولُ رَبِّيٓ أَهَٰنَنِ,当他考验他，故节约他的给养的时候，他说：“我的主凌辱我了。”,
89,17,كَلَّاۖ بَل لَّا تُكۡرِمُونَ ٱلۡيَتِيمَ,绝不然！但你们不优待孤儿，,
89,18,وَلَا تَحَٰٓضُّونَ عَلَىٰ طَعَامِ ٱلۡمِسۡكِينِ,你们不以济贫相勉励，,
89,19,وَتَأۡكُلُونَ ٱلتُّرَاثَ أَكۡلٗا لَّمّٗا,你们侵吞遗产，,
89,20,وَتُحِبُّونَ ٱلۡمَالَ حُبّٗا جَمّٗا,你们酷爱钱财。,
89,21,كَلَّآۖ إِذَا دُكَّتِ ٱلۡأَرۡضُ دَكّٗا دَكّٗا,绝不然！当大地震动复震动，,
89,22,وَجَآءَ رَبُّكَ وَٱلۡمَلَكُ صَفّٗا صَفّٗا,你的主和整列整列的天使，同齐来临的时候，,
89,23,وَجِاْيٓءَ يَوۡمَئِذِۭ بِجَهَنَّمَۚ يَوۡمَئِذٖ يَتَذَكَّرُ ٱلۡإِنسَٰنُ وَأَنَّىٰ لَهُ ٱلذِّكۡرَىٰ,在那日，火狱将被拿来；在那日，人将觉悟，但觉悟于他有何裨益呢？,
89,24,يَقُولُ يَٰلَيۡتَنِي قَدَّمۡتُ لِحَيَاتِي,他将说：“但愿我在世的时候曾行善事。”,
89,25,فَيَوۡمَئِذٖ لَّا يُعَذِّبُ عَذَابَهُۥٓ أَحَدٞ,在那日，任何人，不用他的那种刑罚惩治别人；,
89,26,وَلَا يُوثِقُ وَثَاقَهُۥٓ أَحَدٞ,任何人，不用他的那种束缚束缚别人。,
89,27,يَٰٓأَيَّتُهَا ٱلنَّفۡسُ ٱلۡمُطۡمَئِنَّةُ,安定的灵魂啊！,
89,28,ٱرۡجِعِيٓ إِلَىٰ رَبِّكِ رَاضِيَةٗ مَّرۡضِيَّةٗ,你应当喜悦地，被喜悦地归于你的主。,
89,29,فَٱدۡخُلِي فِي عِبَٰدِي,你应当入在我的众仆里；,
89,30,وَٱدۡخُلِي جَنَّتِي,你应当入在我的乐园里。,
